,O,H,L,C,V,T,BV
0,0.00006393,0.00006394,0.00006393,0.00006394,100,2018-06-10T14:25:00,0.00639389
1,0.00006321,0.00006321,0.00006321,0.00006321,1024.66523807,2018-06-10T14:31:00,0.06476908
2,0.0000632,0.0000632,0.0000632,0.0000632,369,2018-06-10T14:38:00,0.0233208
3,0.0000632,0.0000632,0.0000632,0.0000632,2409.028,2018-06-10T14:51:00,0.15225056
4,0.00006321,0.00006321,0.00006321,0.00006321,254.223578,2018-06-10T14:52:00,0.01606947
5,0.00006321,0.00006321,0.00006321,0.00006321,122.00359836,2018-06-10T14:53:00,0.00771184
6,0.00006359,0.00006359,0.00006359,0.00006359,27.57705535,2018-06-10T14:55:00,0.00175362
7,0.00006356,0.00006356,0.00006356,0.00006356,435.32122396,2018-06-10T15:10:00,0.02766901
8,0.0000632,0.0000632,0.0000632,0.0000632,23,2018-06-10T15:31:00,0.00145359
9,0.0000632,0.0000632,0.0000632,0.0000632,413.00037493,2018-06-10T15:33:00,0.02610162
10,0.00006308,0.00006308,0.00006308,0.00006308,330.090994,2018-06-10T15:43:00,0.02082212
11,0.00006312,0.00006312,0.00006312,0.00006312,1276.68597833,2018-06-10T15:59:00,0.08058441
12,0.00006301,0.00006301,0.00006301,0.00006301,2000,2018-06-10T16:11:00,0.12602
13,0.000063,0.000063,0.000063,0.000063,1400,2018-06-10T16:12:00,0.0882
14,0.00006285,0.00006285,0.00006285,0.00006285,1000,2018-06-10T16:34:00,0.06285
15,0.0000628,0.0000628,0.0000625,0.0000625,130,2018-06-10T16:41:00,0.0081445
16,0.0000625,0.0000625,0.0000625,0.0000625,1762.481515,2018-06-10T16:44:00,0.11015507
17,0.0000625,0.0000625,0.0000625,0.0000625,1729.38655826,2018-06-10T16:45:00,0.10808663
18,0.0000625,0.0000625,0.0000625,0.0000625,219,2018-06-10T16:49:00,0.0136875
19,0.0000625,0.0000625,0.0000625,0.0000625,19,2018-06-10T16:52:00,0.0011875
20,0.0000625,0.0000625,0.0000625,0.0000625,785.74248,2018-06-10T16:55:00,0.04910888
21,0.0000625,0.0000625,0.0000625,0.0000625,219.043943,2018-06-10T16:56:00,0.01369024
22,0.0000625,0.0000625,0.0000625,0.0000625,8.34229199,2018-06-10T16:57:00,0.00052139
23,0.0000625,0.0000625,0.0000625,0.0000625,1376.654824,2018-06-10T16:58:00,0.08604091
24,0.0000625,0.0000625,0.0000625,0.0000625,146.2828706,2018-06-10T16:59:00,0.00914267
25,0.0000628,0.0000628,0.0000628,0.0000628,108.585205,2018-06-10T17:13:00,0.00681915
26,0.0000628,0.0000628,0.0000628,0.0000628,777.011322,2018-06-10T17:14:00,0.04879628
27,0.0000628,0.0000628,0.0000628,0.0000628,1103.65669458,2018-06-10T17:15:00,0.06930961
28,0.000063,0.000063,0.000063,0.000063,325.176872,2018-06-10T17:29:00,0.02048614
29,0.000063,0.00006311,0.000063,0.00006308,567.42302567,2018-06-10T17:30:00,0.03579783
30,0.00006308,0.00006308,0.00006308,0.00006308,10,2018-06-10T17:31:00,0.0006308
31,0.00006304,0.00006304,0.00006299,0.00006299,173.62392833,2018-06-10T17:32:00,0.01093865
32,0.000063,0.000063,0.000063,0.000063,763.96880199,2018-06-10T17:33:00,0.04813001
33,0.000063,0.000063,0.000063,0.000063,289.74603175,2018-06-10T17:34:00,0.018254
34,0.000063,0.000063,0.000063,0.000063,877.42252352,2018-06-10T17:35:00,0.05527761
35,0.0000632,0.0000632,0.0000632,0.0000632,97,2018-06-10T17:36:00,0.0061304
36,0.0000632,0.0000632,0.0000632,0.0000632,73,2018-06-10T17:37:00,0.0046136
37,0.0000632,0.0000632,0.0000632,0.0000632,31.64556962,2018-06-10T17:39:00,0.00199999
38,0.0000628,0.0000632,0.00006254,0.0000632,323.17671112,2018-06-10T17:40:00,0.02026097
39,0.0000632,0.00006399,0.0000632,0.00006399,200,2018-06-10T17:41:00,0.01270095
40,0.00006338,0.00006399,0.00006338,0.00006399,200,2018-06-10T17:42:00,0.01274388
41,0.00006361,0.00006361,0.00006356,0.00006356,357.20798616,2018-06-10T17:43:00,0.02271413
42,0.00006277,0.00006277,0.00006277,0.00006277,122.26608551,2018-06-10T17:54:00,0.00767464
43,0.00006355,0.00006355,0.00006355,0.00006355,33.646359,2018-06-10T18:08:00,0.00213822
44,0.00006355,0.00006355,0.00006355,0.00006355,78.591517,2018-06-10T18:13:00,0.00499449
45,0.00006345,0.00006345,0.00006345,0.00006345,135.447406,2018-06-10T18:17:00,0.00859413
46,0.00006344,0.00006344,0.00006344,0.00006344,8.01899433,2018-06-10T18:18:00,0.00050872
47,0.00006344,0.00006344,0.00006344,0.00006344,34.96128,2018-06-10T18:20:00,0.00221794
48,0.00006344,0.00006344,0.00006344,0.00006344,35.20510628,2018-06-10T18:27:00,0.00223341
49,0.00006344,0.00006344,0.00006344,0.00006344,37.81957606,2018-06-10T18:28:00,0.00239927
50,0.00006295,0.00006295,0.00006295,0.00006295,115.044396,2018-06-10T18:50:00,0.00724204
51,0.000063,0.000063,0.000063,0.000063,93.06690833,2018-06-10T18:54:00,0.00586321
52,0.000063,0.000063,0.000063,0.000063,40.17857277,2018-06-10T18:59:00,0.00253125
53,0.000063,0.00006315,0.000063,0.00006315,1121.11740391,2018-06-10T19:03:00,0.07078104
54,0.0000626,0.0000626,0.0000626,0.0000626,188.88,2018-06-10T19:24:00,0.01182388
55,0.00006314,0.00006314,0.00006314,0.00006314,2375.67310738,2018-06-10T19:25:00,0.14999998
56,0.00006315,0.00006315,0.00006315,0.00006315,1187.64845605,2018-06-10T19:27:00,0.07499999
57,0.00006261,0.00006261,0.0000626,0.0000626,1472.12602849,2018-06-10T19:29:00,0.09216125
58,0.00006261,0.00006261,0.0000626,0.0000626,188.88,2018-06-10T19:38:00,0.01182528
59,0.0000626,0.0000626,0.0000626,0.0000626,188.88,2018-06-10T19:39:00,0.01182388
60,0.0000626,0.0000626,0.00006254,0.00006254,188.88,2018-06-10T19:40:00,0.01182006
61,0.00006289,0.00006289,0.00006191,0.00006191,292.75659084,2018-06-10T19:42:00,0.01823592
62,0.00006196,0.00006196,0.00006184,0.00006184,19341.2393344,2018-06-10T19:46:00,1.1962959
63,0.00006186,0.00006186,0.00006186,0.00006186,222.88997488,2018-06-10T19:47:00,0.01378797
64,0.00006257,0.00006257,0.00006257,0.00006257,107.92656664,2018-06-10T19:55:00,0.00675296
65,0.0000625,0.0000625,0.0000625,0.0000625,20,2018-06-10T20:25:00,0.00125
66,0.00006245,0.00006245,0.00006245,0.00006245,1590.949564,2018-06-10T20:39:00,0.09935479
67,0.00006188,0.00006188,0.00006188,0.00006188,5244.57714621,2018-06-10T20:42:00,0.32453442
68,0.00006188,0.00006188,0.00006183,0.00006183,2702.26517822,2018-06-10T20:43:00,0.16712161
69,0.00006183,0.00006183,0.00006161,0.00006182,3997.48349867,2018-06-10T20:44:00,0.24715845
70,0.00006182,0.00006183,0.00006182,0.00006183,2964.382471,2018-06-10T20:45:00,0.18328461
71,0.00006183,0.00006183,0.00006183,0.00006183,2309.596896,2018-06-10T20:46:00,0.14280236
72,0.00006183,0.00006183,0.00006183,0.00006183,161.686714,2018-06-10T20:47:00,0.00999708
73,0.00006183,0.00006183,0.00006118,0.00006118,18164.82157545,2018-06-10T20:48:00,1.11164322
74,0.00006171,0.00006182,0.00006171,0.00006182,641.121805,2018-06-10T20:49:00,0.0395945
75,0.00006182,0.00006182,0.00006182,0.00006182,1037.015768,2018-06-10T20:50:00,0.0641083
76,0.00006182,0.00006182,0.00006181,0.00006181,620.50983252,2018-06-10T20:51:00,0.0383563
77,0.00006182,0.00006182,0.00006182,0.00006182,300,2018-06-10T20:52:00,0.018546
78,0.00006183,0.00006188,0.00006183,0.00006188,3604.03040113,2018-06-10T20:53:00,0.22286134
79,0.00006188,0.00006242,0.00006159,0.00006159,490.18538787,2018-06-10T20:54:00,0.03030728
80,0.0000624,0.0000624,0.0000624,0.0000624,34.92161178,2018-06-10T20:57:00,0.0021791
81,0.0000624,0.0000624,0.0000624,0.0000624,48.07692307,2018-06-10T20:58:00,0.00299999
82,0.00006238,0.00006238,0.00006238,0.00006238,80.15389547,2018-06-10T20:59:00,0.00499999
83,0.00006237,0.00006238,0.00006237,0.00006238,128.24623275,2018-06-10T21:00:00,0.00799918
84,0.00006238,0.00006238,0.00006238,0.00006238,96.18467456,2018-06-10T21:01:00,0.00599998
85,0.0000615,0.0000615,0.0000615,0.0000615,16.588221,2018-06-10T21:06:00,0.00102017
86,0.00006215,0.00006215,0.00006215,0.00006215,9.37954946,2018-06-10T21:23:00,0.00058293
87,0.00006153,0.00006153,0.00006153,0.00006153,100,2018-06-10T21:24:00,0.006153
88,0.00006214,0.00006214,0.00006214,0.00006214,85.128232,2018-06-10T21:25:00,0.00528986
89,0.00006169,0.00006169,0.00006169,0.00006169,48.387401,2018-06-10T21:29:00,0.00298501
90,0.00006169,0.00006169,0.00006169,0.00006169,154,2018-06-10T21:30:00,0.00950026
91,0.00006169,0.00006169,0.00006105,0.00006105,1749.47474063,2018-06-10T21:31:00,0.10680621
92,0.00006137,0.00006137,0.00006137,0.00006137,1125.22080737,2018-06-10T21:34:00,0.0690548
93,0.00006107,0.00006107,0.00006107,0.00006107,1089.74922258,2018-06-10T21:38:00,0.06655097
94,0.00006107,0.00006107,0.00006107,0.00006107,2446.64244156,2018-06-10T21:40:00,0.14941644
95,0.00006106,0.00006106,0.00006076,0.00006076,5945.81781234,2018-06-10T21:41:00,0.36136912
