,O,H,L,C,V,T,BV
0,0.00148182,0.00148182,0.00148182,0.00148182,6.74845797,2018-06-04T19:55:00,0.00999999
1,0.0014787,0.00147871,0.0014787,0.0014787,301.6232,2018-06-04T19:58:00,0.44601032
2,0.0014787,0.0014787,0.0014787,0.0014787,5,2018-06-04T20:01:00,0.0073935
3,0.00148513,0.00148513,0.00148513,0.00148513,6.73337193,2018-06-04T20:04:00,0.00999993
4,0.00148504,0.00148505,0.00148504,0.00148505,30,2018-06-04T20:05:00,0.04455125
5,0.00148484,0.00148484,0.00148484,0.00148484,15.23276961,2018-06-04T20:06:00,0.02261822
6,0.00148484,0.00148484,0.00148484,0.00148484,26.87013442,2018-06-04T20:08:00,0.03989785
7,0.00148038,0.00148038,0.00148038,0.00148038,1.36579519,2018-06-04T20:10:00,0.00202189
8,0.0014787,0.00148401,0.0014787,0.0014787,86.08602721,2018-06-04T20:23:00,0.12757232
9,0.0014787,0.0014787,0.0014787,0.0014787,6.72,2018-06-04T20:24:00,0.00993686
10,0.0014787,0.0014787,0.0014787,0.0014787,55,2018-06-04T20:26:00,0.0813285
11,0.00148323,0.00148323,0.0014787,0.0014787,33.96433674,2018-06-04T20:27:00,0.05025559
12,0.00148386,0.00148386,0.00148386,0.00148386,6.74768385,2018-06-04T20:28:00,0.01001261
13,0.00148696,0.00148696,0.00148696,0.00148696,0.36075076,2018-06-04T20:33:00,0.00053642
14,0.0014787,0.0014865,0.0014787,0.0014865,18.55658357,2018-06-04T20:34:00,0.02750523
15,0.00148722,0.00148724,0.00148722,0.00148724,27.13127147,2018-06-04T20:38:00,0.0403504
16,0.00148726,0.00148726,0.00148724,0.00148724,4.98194674,2018-06-04T20:39:00,0.00740938
17,0.00148712,0.00148712,0.00148712,0.00148712,1.25,2018-06-04T20:45:00,0.0018589
18,0.00148681,0.00148681,0.00148681,0.00148681,6.72567323,2018-06-04T20:47:00,0.00999979
19,0.00147871,0.00147871,0.00147871,0.00147871,3.33287819,2018-06-04T20:49:00,0.00492836
20,0.0014787,0.0014787,0.0014787,0.0014787,47.86751531,2018-06-04T20:52:00,0.07078169
21,0.00148587,0.00148587,0.0014787,0.0014787,2077.401182,2018-06-04T20:54:00,3.07186097
22,0.00147326,0.00147326,0.00147,0.00147,678.48554264,2018-06-04T20:56:00,0.99791395
23,0.00147499,0.001475,0.00147006,0.00147006,762.13214175,2018-06-04T20:57:00,1.1238842
24,0.00147024,0.001475,0.00147023,0.001475,209.27873092,2018-06-04T20:58:00,0.30832161
25,0.001475,0.001475,0.001475,0.001475,15.40626915,2018-06-04T20:59:00,0.02272424
26,0.001475,0.001475,0.001475,0.001475,69.86549104,2018-06-04T21:00:00,0.10305158
27,0.001481,0.001481,0.001481,0.001481,4.2,2018-06-04T21:01:00,0.0062202
