,O,H,L,C,V,T,BV
0,0.00000739,0.00000739,0.00000739,0.00000739,19738.87419824,2018-06-10T12:51:00,0.14587028
1,0.00000733,0.00000733,0.00000733,0.00000733,153.06122448,2018-06-10T12:52:00,0.00112193
2,0.00000736,0.00000736,0.00000736,0.00000736,400,2018-06-10T12:54:00,0.002944
3,0.00000736,0.00000736,0.00000736,0.00000736,193.54752716,2018-06-10T12:55:00,0.0014245
4,0.00000735,0.00000737,0.00000735,0.00000737,14300,2018-06-10T12:57:00,0.10537798
5,0.00000735,0.00000735,0.00000735,0.00000735,7092.67423077,2018-06-10T12:58:00,0.05213114
6,0.00000735,0.00000735,0.00000733,0.00000733,5242,2018-06-10T12:59:00,0.03846354
7,0.00000738,0.00000738,0.00000738,0.00000738,11999.73835071,2018-06-10T13:02:00,0.08855806
8,0.00000738,0.00000738,0.00000738,0.00000738,15350.34500469,2018-06-10T13:06:00,0.11328554
9,0.00000737,0.00000737,0.00000737,0.00000737,3970.44616169,2018-06-10T13:13:00,0.02926218
10,0.00000736,0.00000736,0.00000735,0.00000735,2735.04273504,2018-06-10T13:14:00,0.02011499
11,0.00000735,0.00000735,0.00000735,0.00000735,7852.21918204,2018-06-10T13:15:00,0.05771381
12,0.00000735,0.00000735,0.00000734,0.00000734,6028.90839503,2018-06-10T13:17:00,0.04430947
13,0.00000734,0.00000734,0.00000732,0.00000733,4013.42352855,2018-06-10T13:18:00,0.02941631
14,0.00000732,0.00000733,0.00000727,0.00000731,338193.7887461,2018-06-10T13:19:00,2.46686583
15,0.00000731,0.00000731,0.00000731,0.00000731,170.31275,2018-06-10T13:20:00,0.00124497
16,0.00000731,0.00000731,0.00000731,0.00000731,1023.71462804,2018-06-10T13:21:00,0.00748333
17,0.00000731,0.00000731,0.00000731,0.00000731,1105.32096,2018-06-10T13:22:00,0.00807984
18,0.00000731,0.00000731,0.00000731,0.00000731,1190.30376,2018-06-10T13:23:00,0.00870107
19,0.00000731,0.00000731,0.0000073,0.00000731,1511.51176952,2018-06-10T13:24:00,0.01104757
20,0.00000731,0.00000731,0.00000731,0.00000731,2905.56052,2018-06-10T13:25:00,0.02123957
21,0.00000731,0.00000731,0.00000731,0.00000731,1987.48972961,2018-06-10T13:26:00,0.01452848
22,0.00000731,0.00000731,0.0000073,0.00000731,7044.06252345,2018-06-10T13:27:00,0.05144207
23,0.00000731,0.00000731,0.00000731,0.00000731,1188.78144,2018-06-10T13:28:00,0.00868992
24,0.00000731,0.00000731,0.0000073,0.00000731,7455.536501,2018-06-10T13:29:00,0.05449483
25,0.00000731,0.00000733,0.00000731,0.00000733,5254.18637625,2018-06-10T13:30:00,0.03840971
26,0.00000733,0.00000733,0.00000731,0.00000731,10234.63620815,2018-06-10T13:31:00,0.07481854
27,0.00000731,0.00000731,0.00000731,0.00000731,5989.82426432,2018-06-10T13:32:00,0.04378558
28,0.00000731,0.00000732,0.0000073,0.00000731,6113.44214432,2018-06-10T13:33:00,0.04466515
29,0.00000733,0.00000734,0.00000733,0.00000733,62234.09245989,2018-06-10T13:34:00,0.45647959
30,0.00000733,0.00000733,0.00000733,0.00000733,677.43794,2018-06-10T13:35:00,0.00496562
31,0.00000733,0.00000733,0.00000733,0.00000733,406.23425648,2018-06-10T13:43:00,0.00297769
32,0.00000733,0.00000735,0.00000733,0.00000735,114.52567352,2018-06-10T13:44:00,0.00084087
33,0.00000734,0.00000734,0.00000734,0.00000734,854.29274898,2018-06-10T13:46:00,0.0062705
34,0.00000731,0.00000734,0.00000728,0.00000728,82651.3034016,2018-06-10T13:47:00,0.60311666
35,0.00000732,0.00000734,0.00000732,0.00000733,4280.85534866,2018-06-10T13:49:00,0.0314123
36,0.00000733,0.00000733,0.00000733,0.00000733,3258.74757123,2018-06-10T13:50:00,0.02388661
37,0.00000736,0.00000736,0.00000736,0.00000736,200.54368,2018-06-10T13:53:00,0.001476
38,0.00000736,0.00000736,0.00000736,0.00000736,2724.96137372,2018-06-10T13:54:00,0.02005568
39,0.00000736,0.00000736,0.00000736,0.00000736,48045.17360217,2018-06-10T13:55:00,0.35361246
40,0.00000736,0.00000736,0.00000736,0.00000736,2759.31,2018-06-10T13:56:00,0.02030852
41,0.00000737,0.00000737,0.00000737,0.00000737,4077.7506708,2018-06-10T13:57:00,0.030053
42,0.00000738,0.00000738,0.00000735,0.00000735,2771.87193076,2018-06-10T13:58:00,0.02044424
43,0.00000738,0.00000738,0.00000738,0.00000738,4486.12547222,2018-06-10T13:59:00,0.0331076
44,0.00000738,0.00000738,0.00000736,0.00000738,4790.05035464,2018-06-10T14:00:00,0.03528279
45,0.00000736,0.00000736,0.00000736,0.00000736,204.41,2018-06-10T14:01:00,0.00150445
46,0.00000737,0.00000737,0.00000737,0.00000737,2441.08169607,2018-06-10T14:02:00,0.01799077
47,0.00000736,0.00000736,0.00000736,0.00000736,4011.95642721,2018-06-10T14:03:00,0.02952799
48,0.00000736,0.00000736,0.00000736,0.00000736,20564.23226319,2018-06-10T14:06:00,0.15135273
49,0.00000736,0.00000736,0.00000735,0.00000735,66946,2018-06-10T14:07:00,0.49258255
50,0.00000735,0.00000735,0.00000735,0.00000735,30000,2018-06-10T14:12:00,0.22049999
51,0.00000735,0.00000735,0.00000735,0.00000735,9424.38,2018-06-10T14:14:00,0.06926919
52,0.00000736,0.00000736,0.00000736,0.00000736,1730.57777325,2018-06-10T14:16:00,0.01273705
53,0.00000735,0.00000735,0.00000731,0.00000734,47293.94,2018-06-10T14:17:00,0.34754533
54,0.00000733,0.00000733,0.00000733,0.00000733,535.859733,2018-06-10T14:19:00,0.00392785
55,0.00000733,0.00000733,0.00000733,0.00000733,955.44519,2018-06-10T14:20:00,0.00700339
56,0.00000733,0.00000733,0.00000731,0.00000733,1416.90865795,2018-06-10T14:21:00,0.01038418
57,0.00000733,0.00000735,0.00000731,0.00000735,2104.59862286,2018-06-10T14:22:00,0.01545279
58,0.00000735,0.00000735,0.00000735,0.00000735,5000,2018-06-10T14:23:00,0.03675
59,0.00000735,0.00000735,0.00000735,0.00000735,24225.71328572,2018-06-10T14:24:00,0.17805898
60,0.00000732,0.00000734,0.00000732,0.00000734,45489.39314285,2018-06-10T14:26:00,0.33298383
61,0.00000733,0.00000733,0.00000733,0.00000733,4579,2018-06-10T14:29:00,0.03356406
62,0.00000734,0.00000734,0.00000733,0.00000733,23372.31681615,2018-06-10T14:30:00,0.17155042
63,0.00000733,0.00000733,0.00000732,0.00000732,31623.88057677,2018-06-10T14:31:00,0.2314868
64,0.00000732,0.00000732,0.00000732,0.00000732,1593.18712332,2018-06-10T14:32:00,0.01166212
65,0.00000734,0.0000075,0.00000729,0.00000734,1781915.66056727,2018-06-10T14:34:00,13.22245682
66,0.00000732,0.00000734,0.0000073,0.00000734,66081.32239636,2018-06-10T14:35:00,0.48456077
67,0.00000732,0.00000732,0.00000731,0.00000731,333876,2018-06-10T14:36:00,2.44119504
