,O,H,L,C,V,T,BV
0,0.00003857,0.00003857,0.00003857,0.00003857,684.38424829,2018-06-04T19:50:00,0.0263967
1,0.00003844,0.00003844,0.00003844,0.00003844,151.47012987,2018-06-04T19:53:00,0.00582251
2,0.00003857,0.00003857,0.00003857,0.00003857,90.74410163,2018-06-04T19:54:00,0.00349999
3,0.00003857,0.00003857,0.0000384,0.00003855,1176.27345721,2018-06-04T19:55:00,0.04525655
4,0.00003857,0.00003857,0.00003857,0.00003857,259.2688618,2018-06-04T19:56:00,0.00999999
5,0.00003858,0.00003858,0.00003858,0.00003858,97.10950075,2018-06-04T19:58:00,0.00374647
6,0.00003857,0.00003857,0.00003857,0.00003857,1659.2688618,2018-06-04T19:59:00,0.06399799
7,0.00003847,0.00003857,0.00003847,0.00003857,3392.91834664,2018-06-04T20:00:00,0.13082668
8,0.00003857,0.00003857,0.0000385,0.0000385,786.9019019,2018-06-04T20:01:00,0.03034537
9,0.0000385,0.0000385,0.0000384,0.0000384,2603.30525152,2018-06-04T20:03:00,0.10002725
10,0.0000385,0.0000385,0.0000385,0.0000385,681.17806529,2018-06-04T20:05:00,0.02622535
11,0.0000385,0.0000385,0.0000385,0.0000385,259.74025974,2018-06-04T20:06:00,0.00999999
12,0.0000385,0.0000385,0.0000385,0.0000385,65.35584416,2018-06-04T20:10:00,0.0025162
13,0.0000385,0.0000385,0.0000385,0.0000385,65.35584416,2018-06-04T20:11:00,0.0025162
14,0.0000385,0.0000385,0.0000385,0.0000385,2485.81774156,2018-06-04T20:12:00,0.09570397
15,0.0000384,0.0000384,0.0000384,0.0000384,350,2018-06-04T20:13:00,0.01344
16,0.0000385,0.0000385,0.0000385,0.0000385,3937.43058505,2018-06-04T20:14:00,0.15159107
17,0.0000385,0.0000385,0.0000385,0.0000385,399.06186529,2018-06-04T20:15:00,0.01536388
18,0.0000384,0.0000385,0.0000384,0.0000385,15865.33589817,2018-06-04T20:16:00,0.60981991
19,0.00003857,0.00003857,0.00003857,0.00003857,2708.78399533,2018-06-04T20:18:00,0.10447779
20,0.0000385,0.00003857,0.00003841,0.00003857,6562.11580009,2018-06-04T20:19:00,0.2526422
21,0.00003857,0.00003857,0.00003857,0.00003857,327.19597447,2018-06-04T20:20:00,0.01261993
22,0.00003841,0.00003841,0.00003841,0.00003841,26.71250278,2018-06-04T20:21:00,0.00102602
23,0.00003857,0.0000386,0.00003857,0.0000386,2584.19689119,2018-06-04T20:22:00,0.09972239
24,0.00003855,0.00003855,0.00003855,0.00003855,100,2018-06-04T20:29:00,0.003855
25,0.0000386,0.0000386,0.0000386,0.0000386,175.50960816,2018-06-04T20:33:00,0.00677467
26,0.0000386,0.0000386,0.0000386,0.0000386,12.94682642,2018-06-04T20:35:00,0.00049974
27,0.00003856,0.00003856,0.00003856,0.00003856,443,2018-06-04T20:38:00,0.01708208
28,0.0000386,0.0000386,0.0000386,0.0000386,480.31666515,2018-06-04T20:39:00,0.01854022
29,0.0000386,0.0000386,0.0000386,0.0000386,3660.2483679,2018-06-04T20:40:00,0.14128557
30,0.00003856,0.00003856,0.00003842,0.00003842,100,2018-06-04T20:42:00,0.0038421
31,0.0000386,0.0000386,0.0000386,0.0000386,2404.43647357,2018-06-04T20:43:00,0.09281124
32,0.00003859,0.0000386,0.00003859,0.0000386,600,2018-06-04T20:47:00,0.0231598
33,0.00003843,0.0000386,0.00003842,0.00003842,5480,2018-06-04T20:49:00,0.2107072
34,0.0000386,0.0000386,0.00003845,0.00003845,1250.52442167,2018-06-04T20:50:00,0.04821024
35,0.00003843,0.00003843,0.00003843,0.00003843,4571.11290412,2018-06-04T20:51:00,0.17566786
36,0.00003843,0.0000386,0.00003843,0.0000386,435,2018-06-04T20:52:00,0.0167655
37,0.00003859,0.00003859,0.00003843,0.00003843,8517.51170101,2018-06-04T20:53:00,0.32868179
38,0.00003859,0.00003859,0.00003859,0.00003859,64.46272893,2018-06-04T20:54:00,0.00248761
39,0.00003859,0.0000386,0.00003859,0.0000386,2208.76772528,2018-06-04T20:55:00,0.08525757
40,0.0000386,0.0000386,0.0000386,0.0000386,4944.46446806,2018-06-04T20:57:00,0.1908563
41,0.00003844,0.0000386,0.00003843,0.00003843,2401.13077474,2018-06-04T20:58:00,0.09260059
42,0.0000386,0.00003863,0.0000386,0.00003863,38652.88914895,2018-06-04T20:59:00,1.49207866
43,0.0000386,0.0000386,0.0000386,0.0000386,2558.90250385,2018-06-04T21:00:00,0.09877363
44,0.00003849,0.00003849,0.00003849,0.00003849,3000,2018-06-04T21:01:00,0.11547
45,0.00003863,0.00003863,0.00003849,0.00003849,1048.46212933,2018-06-04T21:02:00,0.04049969
46,0.00003849,0.00003849,0.00003849,0.00003849,18.91955071,2018-06-04T21:04:00,0.00072821
47,0.00003863,0.00003863,0.00003863,0.00003863,1248.34475815,2018-06-04T21:05:00,0.04822355
48,0.0000385,0.0000385,0.0000385,0.0000385,500,2018-06-04T21:08:00,0.01925
49,0.00003859,0.00003859,0.00003859,0.00003859,129.5672454,2018-06-04T21:09:00,0.00499999
