,O,H,L,C,V,T,BV
0,0.00012999,0.00012999,0.00012999,0.00012999,22.79817184,2018-06-14T15:32:00,0.00296353
1,0.00013089,0.00013089,0.00013089,0.00013089,361.48831481,2018-06-14T15:41:00,0.04731519
2,0.00013139,0.00013143,0.00013139,0.00013143,665.89860762,2018-06-14T15:49:00,0.08751218
3,0.00013145,0.00013145,0.00013145,0.00013145,507.9207016,2018-06-14T15:51:00,0.06676616
4,0.00013015,0.00013015,0.00013015,0.00013015,37.86634566,2018-06-14T15:54:00,0.0049283
5,0.00013081,0.00013081,0.00013081,0.00013081,495.33180379,2018-06-14T16:08:00,0.06479435
6,0.00013081,0.00013081,0.00013081,0.00013081,180,2018-06-14T16:15:00,0.0235458
7,0.00013136,0.00013136,0.00013136,0.00013136,2278.10084253,2018-06-14T16:18:00,0.29925131
8,0.00013081,0.00013081,0.00013081,0.00013081,500,2018-06-14T16:19:00,0.065405
9,0.00013081,0.00013081,0.00013081,0.00013081,811.41905282,2018-06-14T16:22:00,0.10614172
10,0.00013034,0.00013034,0.00013034,0.00013034,2024.55437573,2018-06-14T16:23:00,0.26388041
11,0.00013034,0.00013034,0.00013034,0.00013034,2814.30745705,2018-06-14T16:24:00,0.36681682
12,0.00013136,0.00013136,0.00013136,0.00013136,1301.22667793,2018-06-14T16:26:00,0.17092913
13,0.00013136,0.00013136,0.00013136,0.00013136,132,2018-06-14T16:27:00,0.01733952
14,0.0001319,0.0001319,0.0001319,0.0001319,1764.27505913,2018-06-14T16:33:00,0.23270788
15,0.0001319,0.0001319,0.0001319,0.0001319,2851.53294489,2018-06-14T16:35:00,0.37611719
16,0.00013218,0.00013218,0.00013218,0.00013218,6.14559569,2018-06-14T16:36:00,0.00081232
17,0.00013218,0.00013218,0.00013218,0.00013218,0.0154025,2018-06-14T16:37:00,0.00000203
18,0.0001339,0.0001339,0.0001339,0.0001339,91.31847157,2018-06-14T16:42:00,0.01222753
19,0.00013295,0.00013295,0.00013295,0.00013295,76.71653241,2018-06-14T16:43:00,0.01019946
20,0.00013308,0.0001342,0.00013308,0.0001342,297.85171329,2018-06-14T16:44:00,0.03979986
21,0.00013336,0.00013336,0.00013336,0.00013336,13.27456609,2018-06-14T16:48:00,0.00177029
22,0.00013389,0.00013445,0.00013389,0.00013445,63,2018-06-14T16:49:00,0.00844779
23,0.00013378,0.00013445,0.00013376,0.00013445,2205.57820909,2018-06-14T16:50:00,0.29628009
24,0.00013462,0.000135,0.00013462,0.000135,42.37057224,2018-06-14T16:51:00,0.00571152
25,0.0001346,0.00013536,0.0001346,0.00013536,1837.51319005,2018-06-14T16:53:00,0.24821222
26,0.000135,0.00013536,0.000135,0.00013536,1295.54532507,2018-06-14T16:54:00,0.1750193
27,0.00013536,0.00013575,0.00013536,0.00013575,5770.84739692,2018-06-14T16:55:00,0.78316467
28,0.00013575,0.00013575,0.00013575,0.00013575,685,2018-06-14T16:56:00,0.09298875
29,0.00013504,0.00013595,0.00013504,0.00013595,909.29183631,2018-06-14T16:57:00,0.12347563
30,0.00013595,0.0001361,0.00013595,0.00013607,4334.71754232,2018-06-14T17:01:00,0.58959674
31,0.00013608,0.00013695,0.00013608,0.00013695,41.68686247,2018-06-14T17:02:00,0.0057024
32,0.00013695,0.00013695,0.00013695,0.00013695,64.74757319,2018-06-14T17:03:00,0.00886718
33,0.000136,0.000136,0.000136,0.000136,90.88034123,2018-06-14T17:05:00,0.01235971
34,0.00013642,0.00013642,0.0001362,0.0001362,1411.06928444,2018-06-14T17:07:00,0.19226577
35,0.000137,0.000137,0.000137,0.000137,27,2018-06-14T17:08:00,0.00369899
36,0.000137,0.00013704,0.000137,0.00013704,1833.29489151,2018-06-14T17:09:00,0.25116603
37,0.000137,0.000137,0.00013623,0.00013623,963.23383611,2018-06-14T17:11:00,0.13194223
38,0.00013704,0.00013717,0.00013635,0.00013635,221.11212938,2018-06-14T17:13:00,0.03030432
39,0.00013717,0.00013773,0.00013717,0.0001376,5622.2926805,2018-06-14T17:15:00,0.77138486
40,0.0001377,0.0001377,0.00013761,0.00013761,320.34994937,2018-06-14T17:16:00,0.04411124
41,0.00013774,0.00013841,0.00013774,0.00013841,113.76,2018-06-14T17:17:00,0.01572964
42,0.00013841,0.00013996,0.0001377,0.00013914,9375.74711131,2018-06-14T17:19:00,1.30247523
43,0.00013914,0.00014102,0.00013904,0.00014002,10144.90834043,2018-06-14T17:20:00,1.41430521
44,0.00014045,0.00014167,0.00014045,0.00014167,971.59622119,2018-06-14T17:21:00,0.1374044
45,0.00014102,0.00014171,0.00014102,0.00014171,422.78379643,2018-06-14T17:22:00,0.05987369
46,0.00014167,0.00014306,0.00014118,0.00014306,2388.66167462,2018-06-14T17:23:00,0.33874802
47,0.00014306,0.00014359,0.0001424,0.0001424,1033.55833728,2018-06-14T17:24:00,0.14789318
48,0.00014241,0.00014241,0.0001424,0.0001424,867.53707875,2018-06-14T17:25:00,0.12353963
49,0.00014315,0.0001437,0.00014314,0.0001437,475.98004054,2018-06-14T17:26:00,0.06837881
50,0.0001437,0.00015063,0.0001437,0.00014381,17027.94888886,2018-06-14T17:27:00,2.4850102
51,0.00014406,0.00014406,0.00014247,0.0001427,967.86671627,2018-06-14T17:28:00,0.13841539
52,0.00014282,0.00014286,0.00014282,0.00014283,2524.82525098,2018-06-14T17:29:00,0.36069272
53,0.00014283,0.00014283,0.00014247,0.00014247,754.17112939,2018-06-14T17:30:00,0.10755609
54,0.0001422,0.0001422,0.00014214,0.00014214,1853.08466263,2018-06-14T17:32:00,0.26340053
55,0.0001431,0.0001431,0.0001431,0.0001431,250,2018-06-14T17:34:00,0.035775
56,0.0001431,0.0001431,0.0001431,0.0001431,264.21084329,2018-06-14T17:35:00,0.03780857
57,0.0001426,0.0001429,0.00014258,0.00014258,1058.34377402,2018-06-14T17:38:00,0.15099602
58,0.00014258,0.00014258,0.00014258,0.00014258,14.02524544,2018-06-14T17:39:00,0.00199971
59,0.00014254,0.00014258,0.00014254,0.00014258,90,2018-06-14T17:41:00,0.0128294
60,0.00014191,0.00014194,0.00014191,0.00014193,839.33736175,2018-06-14T17:42:00,0.11911779
61,0.0001425,0.0001425,0.0001424,0.0001424,2058.51676089,2018-06-14T17:43:00,0.29316765
