,O,H,L,C,V,T,BV
0,0.000071,0.000071,0.000071,0.000071,98.91103226,2018-06-09T13:09:00,0.00702268
1,0.00007044,0.00007044,0.0000704,0.0000704,128.52199703,2018-06-09T13:10:00,0.00905044
2,0.0000704,0.0000704,0.0000704,0.0000704,338.91573315,2018-06-09T13:14:00,0.02385966
3,0.0000704,0.0000704,0.0000704,0.0000704,160.17084529,2018-06-09T13:16:00,0.01127602
4,0.0000704,0.0000704,0.0000704,0.0000704,290,2018-06-09T13:19:00,0.020416
5,0.0000704,0.0000704,0.00007032,0.00007032,10853.61638686,2018-06-09T13:22:00,0.76395235
6,0.00007021,0.00007021,0.00007021,0.00007021,125.29214434,2018-06-09T13:33:00,0.00879676
7,0.00007021,0.00007021,0.00007021,0.00007021,298.87496303,2018-06-09T13:42:00,0.02098401
8,0.00007065,0.00007065,0.00007065,0.00007065,10.2421295,2018-06-09T13:43:00,0.0007236
9,0.00007059,0.00007059,0.00007059,0.00007059,7.57931581,2018-06-09T13:48:00,0.00053502
10,0.00007021,0.00007021,0.00007021,0.00007021,1714.42853504,2018-06-09T13:53:00,0.12037002
11,0.00007021,0.00007021,0.00007021,0.00007021,40,2018-06-09T13:55:00,0.0028084
12,0.00007052,0.00007052,0.00007021,0.00007021,1606.24963838,2018-06-09T14:02:00,0.11326491
13,0.00007021,0.00007021,0.00007001,0.00007001,2100,2018-06-09T14:03:00,0.14707801
14,0.00007001,0.00007001,0.00007001,0.00007001,14.12261822,2018-06-09T14:05:00,0.00098872
15,0.00007001,0.00007001,0.00007001,0.00007001,200.88082023,2018-06-09T14:08:00,0.01406366
16,0.00007011,0.00007011,0.00007011,0.00007011,32.05092084,2018-06-09T14:17:00,0.00224708
17,0.00007003,0.00007003,0.00007003,0.00007003,182.29688101,2018-06-09T14:20:00,0.01276624
18,0.00007062,0.00007062,0.00007062,0.00007062,15.57632399,2018-06-09T14:22:00,0.0011
19,0.00007056,0.00007056,0.00007056,0.00007056,689.86355878,2018-06-09T14:41:00,0.04867677
20,0.00007055,0.00007055,0.00007055,0.00007055,50,2018-06-09T14:43:00,0.0035275
21,0.00007007,0.00007007,0.00007007,0.00007007,586.77839633,2018-06-09T14:45:00,0.04111555
22,0.00007007,0.00007007,0.00007007,0.00007007,841.16066226,2018-06-09T14:47:00,0.05894012
23,0.00007031,0.00007031,0.00007031,0.00007031,8.68950042,2018-06-09T14:54:00,0.00061095
24,0.00007007,0.00007007,0.00007007,0.00007007,14.95925136,2018-06-09T14:58:00,0.00104819
25,0.00007007,0.00007007,0.00007007,0.00007007,160,2018-06-09T15:01:00,0.0112112
26,0.00007007,0.00007007,0.00007007,0.00007007,1000,2018-06-09T15:04:00,0.07007
27,0.00007031,0.00007031,0.00007031,0.00007031,52.8168449,2018-06-09T15:11:00,0.00371355
28,0.00007055,0.00007055,0.00007055,0.00007055,162,2018-06-09T15:16:00,0.0114291
29,0.00007031,0.00007031,0.00007031,0.00007031,36.93020637,2018-06-09T15:17:00,0.00259656
30,0.00007007,0.00007007,0.00007001,0.00007001,1869.37205503,2018-06-09T15:22:00,0.13090904
31,0.00007001,0.00007001,0.00007001,0.00007001,309,2018-06-09T15:23:00,0.02163309
32,0.00007001,0.00007001,0.00007001,0.00007001,50,2018-06-09T15:25:00,0.0035005
33,0.00007047,0.00007047,0.00007047,0.00007047,96,2018-06-09T15:26:00,0.00676512
34,0.00007001,0.00007038,0.00007,0.00007038,4424.28708093,2018-06-09T15:29:00,0.30971463
35,0.00007,0.00007,0.00007,0.00007,221.22513399,2018-06-09T15:41:00,0.01548575
36,0.00007,0.00007,0.00007,0.00007,12531.70464483,2018-06-09T15:42:00,0.87721932
37,0.00007001,0.00007001,0.00007,0.00007,72,2018-06-09T15:52:00,0.0050405
38,0.00007027,0.00007027,0.00007027,0.00007027,9.50775,2018-06-09T15:57:00,0.0006681
39,0.00007,0.00007,0.00007,0.00007,2854.05831373,2018-06-09T16:03:00,0.19978408
40,0.00007027,0.00007027,0.00007027,0.00007027,14,2018-06-09T16:05:00,0.00098378
41,0.00007,0.00007,0.00007,0.00007,4850.83624019,2018-06-09T16:08:00,0.33955853
42,0.00006995,0.00006995,0.00006995,0.00006995,324.05719339,2018-06-09T16:10:00,0.02266779
43,0.00006996,0.00006996,0.00006996,0.00006996,15.32116992,2018-06-09T16:14:00,0.00107186
44,0.00007003,0.00007028,0.00006965,0.00006982,2451.64075201,2018-06-09T16:15:00,0.17161048
45,0.00006982,0.00006982,0.00006965,0.00006965,84.07581806,2018-06-09T16:16:00,0.00586302
46,0.00006965,0.00006982,0.00006965,0.00006982,1387.52788307,2018-06-09T16:17:00,0.0968
47,0.00006978,0.00006978,0.00006965,0.00006965,706.3228172,2018-06-09T16:18:00,0.04919722
48,0.00006965,0.00006965,0.00006955,0.0000696,3961.40093982,2018-06-09T16:22:00,0.27565828
49,0.0000696,0.0000696,0.0000696,0.0000696,57.94599549,2018-06-09T16:24:00,0.00403304
50,0.0000696,0.0000696,0.0000696,0.0000696,170,2018-06-09T16:31:00,0.01183199
51,0.00006955,0.00006955,0.00006951,0.00006951,907.0864716,2018-06-09T16:35:00,0.06307928
52,0.0000698,0.0000698,0.0000698,0.0000698,530.70621705,2018-06-09T16:36:00,0.03704328
53,0.00006973,0.00006973,0.0000695,0.0000695,906.3,2018-06-09T16:39:00,0.06301076
54,0.0000695,0.0000695,0.0000695,0.0000695,806.17007615,2018-06-09T16:40:00,0.05602882
55,0.0000698,0.0000698,0.0000698,0.0000698,7.68527877,2018-06-09T16:47:00,0.00053643
56,0.0000698,0.0000698,0.0000698,0.0000698,29,2018-06-09T16:53:00,0.0020242
57,0.0000698,0.00006982,0.0000698,0.00006982,1028.36007547,2018-06-09T16:54:00,0.07178344
58,0.0000695,0.0000695,0.0000695,0.0000695,262.81502067,2018-06-09T16:56:00,0.01826564
59,0.00006979,0.00006979,0.00006979,0.00006979,6.77327971,2018-06-09T16:57:00,0.0004727
60,0.00006979,0.00006979,0.00006979,0.00006979,8.51298143,2018-06-09T17:00:00,0.00059411
61,0.00006979,0.00006979,0.00006979,0.00006979,145.71373886,2018-06-09T17:01:00,0.01016936
62,0.00006979,0.00006979,0.00006979,0.00006979,19.98,2018-06-09T17:03:00,0.0013944
63,0.00006979,0.00006979,0.00006979,0.00006979,0.29416249,2018-06-09T17:06:00,0.00002052
64,0.00006978,0.00006978,0.00006978,0.00006978,500.57299662,2018-06-09T17:08:00,0.03492998
65,0.0000695,0.0000695,0.0000695,0.0000695,42,2018-06-09T17:10:00,0.002919
66,0.0000695,0.0000695,0.0000695,0.0000695,169.37012305,2018-06-09T17:13:00,0.01177122
67,0.0000695,0.0000695,0.0000695,0.0000695,884.43837999,2018-06-09T17:15:00,0.06146846
68,0.00006933,0.0000694,0.00006902,0.00006904,977.26722282,2018-06-09T17:16:00,0.06769529
69,0.0000694,0.0000695,0.0000694,0.0000695,30.99100245,2018-06-09T17:17:00,0.00215147
70,0.00006903,0.0000695,0.00006903,0.0000695,2357.74709622,2018-06-09T17:22:00,0.1629234
71,0.00006904,0.00006968,0.00006904,0.00006968,1849.22043018,2018-06-09T17:24:00,0.12793677
72,0.00006905,0.00006905,0.00006905,0.00006905,445.25129406,2018-06-09T17:26:00,0.03074459
73,0.00006969,0.00006969,0.00006969,0.00006969,28.69852203,2018-06-09T17:27:00,0.002
74,0.00006903,0.00006903,0.000069,0.000069,1353.77763409,2018-06-09T17:28:00,0.0934125
75,0.0000695,0.00006963,0.000069,0.00006963,7208.87875309,2018-06-09T17:31:00,0.49797697
76,0.00006962,0.00006962,0.00006962,0.00006962,6047.68905551,2018-06-09T17:33:00,0.42104008
77,0.00006962,0.00006962,0.00006962,0.00006962,0.09498715,2018-06-09T17:35:00,0.00000661
78,0.00006949,0.00006949,0.00006949,0.00006949,80.31651645,2018-06-09T17:54:00,0.00558119
79,0.00006937,0.00006937,0.00006937,0.00006937,809.81043762,2018-06-09T17:58:00,0.05617655
80,0.000069,0.000069,0.00006889,0.00006889,1281.84904313,2018-06-09T18:00:00,0.088404
81,0.00006937,0.00006937,0.00006937,0.00006937,16.60889179,2018-06-09T18:02:00,0.00115215
82,0.00006937,0.00006937,0.00006937,0.00006937,532.4310622,2018-06-09T18:06:00,0.03693471
83,0.00006937,0.00006937,0.00006937,0.00006937,17.5689378,2018-06-09T18:10:00,0.00121875
84,0.00006937,0.00006937,0.00006924,0.00006924,48.24937469,2018-06-09T18:13:00,0.00334109
85,0.00006908,0.0000691,0.00006908,0.0000691,59.37383218,2018-06-09T18:14:00,0.00410239
86,0.00006891,0.00006891,0.00006891,0.00006891,42.37250888,2018-06-09T18:15:00,0.00291988
87,0.0000691,0.0000691,0.0000691,0.0000691,42.25599981,2018-06-09T18:16:00,0.00291988
88,0.00006891,0.00006891,0.00006891,0.00006891,42.25599981,2018-06-09T18:17:00,0.00291186
89,0.00006939,0.00006939,0.00006893,0.00006893,512.69686007,2018-06-09T18:21:00,0.03550201
90,0.00006893,0.00006893,0.00006893,0.00006893,199.5,2018-06-09T18:23:00,0.01375153
91,0.00006893,0.00006893,0.00006893,0.00006893,0.5,2018-06-09T18:25:00,0.00003446
92,0.00006891,0.00006891,0.00006891,0.00006891,113.12217194,2018-06-09T18:27:00,0.00779524
93,0.00006891,0.00006891,0.00006889,0.00006889,1499.12902503,2018-06-09T18:28:00,0.10329206
94,0.00006926,0.00006926,0.00006926,0.00006926,8.7316096,2018-06-09T18:36:00,0.00060475
95,0.00006926,0.00006926,0.00006926,0.00006926,17.3260179,2018-06-09T18:37:00,0.00119999
96,0.00006927,0.00006952,0.00006927,0.00006952,12813.74739895,2018-06-09T18:44:00,0.89033925
97,0.00006889,0.00006889,0.00006889,0.00006889,346.19210424,2018-06-09T18:49:00,0.02384917
98,0.00006889,0.00006943,0.00006888,0.00006943,585.32679648,2018-06-09T18:50:00,0.04032421
99,0.00006943,0.00006943,0.00006943,0.00006943,12.95557539,2018-06-09T18:54:00,0.0008995
100,0.00006943,0.00006943,0.00006943,0.00006943,27.8551532,2018-06-09T18:55:00,0.00193398
101,0.00006888,0.00006888,0.00006888,0.00006888,1552,2018-06-09T19:02:00,0.10690176
