,O,H,L,C,V,T,BV
0,0.00000502,0.00000502,0.000005,0.000005,5242.792034,2018-06-10T06:56:00,0.02622926
1,0.000005,0.000005,0.000005,0.000005,1500,2018-06-10T06:57:00,0.0075
2,0.000005,0.000005,0.00000499,0.00000499,62479.86308563,2018-06-10T06:58:00,0.31194204
3,0.00000499,0.000005,0.00000499,0.000005,29745.94454322,2018-06-10T07:00:00,0.14851225
4,0.000005,0.000005,0.00000499,0.00000499,137866.18392435,2018-06-10T07:01:00,0.68795989
5,0.00000499,0.000005,0.00000499,0.000005,62622.72980001,2018-06-10T07:02:00,0.31310519
6,0.000005,0.000005,0.000005,0.000005,2429.40249376,2018-06-10T07:03:00,0.01214701
7,0.000005,0.000005,0.000005,0.000005,256.24578,2018-06-10T07:05:00,0.00128122
8,0.00000499,0.00000499,0.00000499,0.00000499,125296.66943795,2018-06-10T07:06:00,0.62523036
9,0.00000498,0.00000498,0.00000498,0.00000498,763.20045231,2018-06-10T07:08:00,0.00380073
10,0.00000499,0.00000499,0.00000499,0.00000499,3117.92912826,2018-06-10T07:10:00,0.01555846
11,0.00000498,0.00000498,0.00000498,0.00000498,408.615738,2018-06-10T07:12:00,0.0020349
12,0.00000499,0.00000499,0.00000499,0.00000499,10779.084925,2018-06-10T07:13:00,0.05378763
13,0.00000499,0.00000499,0.00000499,0.00000499,11110.33490982,2018-06-10T07:18:00,0.05544057
14,0.00000498,0.00000498,0.00000498,0.00000498,1459.8,2018-06-10T07:19:00,0.0072698
15,0.00000498,0.00000498,0.00000498,0.00000498,6156.1691924,2018-06-10T07:20:00,0.03065772
16,0.00000499,0.00000499,0.00000498,0.00000498,28137.66191208,2018-06-10T07:21:00,0.14029934
17,0.00000498,0.00000498,0.00000498,0.00000498,13543.01469902,2018-06-10T07:22:00,0.06744421
18,0.00000498,0.00000498,0.00000498,0.00000498,13720.32989639,2018-06-10T07:25:00,0.06832723
19,0.00000497,0.00000498,0.00000497,0.00000498,12126.22672148,2018-06-10T07:27:00,0.06035193
20,0.00000498,0.00000498,0.00000498,0.00000498,41240.2898736,2018-06-10T07:28:00,0.20537664
21,0.00000497,0.00000498,0.00000497,0.00000498,23723.04240701,2018-06-10T07:29:00,0.11803382
22,0.00000497,0.00000497,0.00000497,0.00000497,672.60305964,2018-06-10T07:30:00,0.00334282
23,0.00000497,0.00000497,0.00000496,0.00000496,28085.53544694,2018-06-10T07:33:00,0.13944098
24,0.00000496,0.00000496,0.00000494,0.00000496,97910.62225904,2018-06-10T07:34:00,0.48480763
25,0.00000494,0.00000496,0.00000494,0.00000496,22052.16624571,2018-06-10T07:35:00,0.10929638
26,0.00000496,0.00000496,0.00000496,0.00000496,37070.72038807,2018-06-10T07:36:00,0.18387075
27,0.00000496,0.00000496,0.00000494,0.00000494,100046.77762795,2018-06-10T07:37:00,0.494992
28,0.00000494,0.00000494,0.00000493,0.00000493,55002.34795956,2018-06-10T07:38:00,0.27131309
29,0.00000496,0.00000496,0.00000496,0.00000496,2035.384959,2018-06-10T07:39:00,0.0100955
30,0.00000495,0.00000495,0.00000495,0.00000495,150,2018-06-10T07:40:00,0.0007425
31,0.00000493,0.00000493,0.00000492,0.00000493,45302.68014972,2018-06-10T07:41:00,0.22326826
32,0.00000493,0.00000493,0.00000492,0.00000493,26259.3878924,2018-06-10T07:42:00,0.12939351
33,0.00000493,0.00000493,0.00000493,0.00000493,26132.73383812,2018-06-10T07:43:00,0.12883437
34,0.00000493,0.00000493,0.00000492,0.00000492,22816.52190245,2018-06-10T07:44:00,0.11226137
35,0.00000492,0.00000493,0.00000492,0.00000493,750.08594373,2018-06-10T07:45:00,0.00369337
36,0.00000493,0.00000495,0.00000493,0.00000495,2028.39756592,2018-06-10T07:46:00,0.01000682
37,0.00000495,0.00000495,0.00000492,0.00000492,139122.54573799,2018-06-10T07:47:00,0.6861861
38,0.00000493,0.00000493,0.00000492,0.00000492,33547.36699498,2018-06-10T07:48:00,0.16506304
39,0.00000492,0.00000492,0.00000492,0.00000492,1460.1,2018-06-10T07:49:00,0.00718369
40,0.00000492,0.00000492,0.00000492,0.00000492,44213.96238263,2018-06-10T07:51:00,0.21753269
41,0.00000492,0.00000492,0.00000492,0.00000492,3255.83064478,2018-06-10T07:52:00,0.01601868
42,0.00000495,0.00000495,0.00000495,0.00000495,1567.453447,2018-06-10T07:53:00,0.00775889
43,0.00000495,0.00000495,0.00000493,0.00000493,2116.813836,2018-06-10T07:54:00,0.01046722
44,0.00000495,0.00000495,0.00000493,0.00000493,104841.08827946,2018-06-10T07:55:00,0.51689915
45,0.00000493,0.00000493,0.00000493,0.00000493,17339.88437146,2018-06-10T07:56:00,0.08548562
46,0.00000493,0.00000493,0.00000493,0.00000493,9586.30607467,2018-06-10T07:57:00,0.04726048
47,0.00000493,0.00000495,0.00000493,0.00000493,23105.69956361,2018-06-10T07:58:00,0.11417388
48,0.00000493,0.00000494,0.00000493,0.00000493,67035.50241376,2018-06-10T07:59:00,0.33066208
49,0.00000493,0.00000493,0.00000491,0.00000491,442908.11945422,2018-06-10T08:00:00,2.17807852
50,0.00000491,0.00000492,0.00000491,0.00000491,22995.64852571,2018-06-10T08:01:00,0.11291011
51,0.00000492,0.00000492,0.00000492,0.00000492,4055.41834108,2018-06-10T08:03:00,0.01995265
52,0.00000492,0.00000493,0.00000492,0.00000492,20220.32669709,2018-06-10T08:04:00,0.09948683
53,0.00000493,0.00000493,0.00000493,0.00000493,2028.39756592,2018-06-10T08:05:00,0.00999999
54,0.00000493,0.00000493,0.00000493,0.00000493,920,2018-06-10T08:06:00,0.0045356
55,0.00000492,0.00000492,0.00000492,0.00000492,1509.22047346,2018-06-10T08:07:00,0.00742536
56,0.00000493,0.00000494,0.00000493,0.00000494,42248.24099026,2018-06-10T08:08:00,0.20852556
57,0.00000494,0.00000494,0.00000493,0.00000493,16669.98842057,2018-06-10T08:09:00,0.08225602
58,0.00000492,0.00000492,0.00000492,0.00000492,14912.57590932,2018-06-10T08:10:00,0.07336986
59,0.00000493,0.00000493,0.00000493,0.00000493,5000,2018-06-10T08:12:00,0.02465
60,0.00000492,0.00000492,0.00000492,0.00000492,36659.56481345,2018-06-10T08:13:00,0.18036505
61,0.00000492,0.00000492,0.00000492,0.00000492,40439,2018-06-10T08:14:00,0.19895987
62,0.00000492,0.00000492,0.00000491,0.00000491,206707.17604263,2018-06-10T08:15:00,1.01677929
63,0.00000491,0.00000491,0.00000491,0.00000491,190177.21106332,2018-06-10T08:16:00,0.93377008
64,0.00000491,0.00000492,0.00000491,0.00000492,5462.27993833,2018-06-10T08:17:00,0.02682188
65,0.00000492,0.00000492,0.00000492,0.00000492,2500.78959,2018-06-10T08:18:00,0.01230388
66,0.00000491,0.00000492,0.00000491,0.00000491,68188.27177198,2018-06-10T08:19:00,0.33481915
67,0.0000049,0.00000491,0.0000049,0.00000491,11970.61445502,2018-06-10T08:20:00,0.05869822
68,0.0000049,0.00000491,0.0000049,0.00000491,126918.00901501,2018-06-10T08:21:00,0.62268853
69,0.00000492,0.00000492,0.00000492,0.00000492,1196.25912887,2018-06-10T08:22:00,0.00588559
70,0.0000049,0.00000492,0.0000049,0.00000492,1202.95943912,2018-06-10T08:24:00,0.0058985
71,0.00000492,0.00000492,0.00000492,0.00000492,628.67913306,2018-06-10T08:25:00,0.0030931
72,0.0000049,0.0000049,0.0000049,0.0000049,4263.23630841,2018-06-10T08:26:00,0.02088985
73,0.0000049,0.00000492,0.0000049,0.00000492,95135.70223327,2018-06-10T08:27:00,0.46621603
74,0.0000049,0.0000049,0.0000049,0.0000049,67804.62360934,2018-06-10T08:28:00,0.33224264
75,0.00000492,0.00000492,0.00000492,0.00000492,640.91222912,2018-06-10T08:29:00,0.00315328
76,0.00000491,0.00000491,0.00000489,0.00000489,420288.37186845,2018-06-10T08:30:00,2.05911993
77,0.0000049,0.0000049,0.00000489,0.00000489,13176.980501,2018-06-10T08:32:00,0.06453088
78,0.00000489,0.0000049,0.00000489,0.0000049,53775.16570909,2018-06-10T08:33:00,0.26315822
79,0.00000491,0.00000491,0.00000491,0.00000491,2669.86150824,2018-06-10T08:34:00,0.01310901
80,0.0000049,0.0000049,0.0000049,0.0000049,34831.32891974,2018-06-10T08:35:00,0.17067348
81,0.0000049,0.0000049,0.00000489,0.00000489,98581.40620393,2018-06-10T08:36:00,0.48232233
82,0.00000489,0.00000489,0.00000489,0.00000489,1000,2018-06-10T08:37:00,0.00489
83,0.00000489,0.00000491,0.00000489,0.0000049,90462.14975523,2018-06-10T08:38:00,0.44267546
84,0.00000491,0.00000491,0.00000491,0.00000491,999.88567635,2018-06-10T08:39:00,0.00490943
85,0.00000491,0.00000491,0.0000049,0.00000491,71588.77454343,2018-06-10T08:40:00,0.3513684
86,0.00000491,0.00000491,0.0000049,0.00000491,38164.18882696,2018-06-10T08:41:00,0.18737533
87,0.00000491,0.00000491,0.00000491,0.00000491,32142.69840131,2018-06-10T08:42:00,0.15782061
88,0.0000049,0.0000049,0.00000489,0.00000489,12300.31601266,2018-06-10T08:44:00,0.06016378
89,0.00000491,0.00000491,0.0000049,0.0000049,3409.57567892,2018-06-10T08:45:00,0.01671707
90,0.00000489,0.00000489,0.00000489,0.00000489,95584.09805871,2018-06-10T08:46:00,0.4674062
91,0.00000489,0.00000489,0.00000489,0.00000489,60435.98167237,2018-06-10T08:47:00,0.29553193
92,0.00000489,0.00000489,0.00000489,0.00000489,505,2018-06-10T08:48:00,0.00246945
93,0.0000049,0.0000049,0.0000049,0.0000049,336.38906461,2018-06-10T08:50:00,0.0016483
94,0.0000049,0.0000049,0.00000489,0.00000489,49359.46535585,2018-06-10T08:52:00,0.24140157
95,0.00000489,0.0000049,0.00000489,0.00000489,46863.0697005,2018-06-10T08:53:00,0.22937618
96,0.00000489,0.00000489,0.00000488,0.00000488,67064.52557353,2018-06-10T08:54:00,0.32727902
97,0.0000049,0.0000049,0.00000488,0.00000489,96130.51299318,2018-06-10T08:55:00,0.46924458
98,0.00000489,0.00000491,0.00000489,0.00000491,192845.21614149,2018-06-10T08:56:00,0.94534147
99,0.0000049,0.0000049,0.0000049,0.0000049,36662.69013812,2018-06-10T09:02:00,0.17964717
100,0.0000049,0.0000049,0.0000049,0.0000049,3337.30986188,2018-06-10T09:03:00,0.01635281
101,0.00000491,0.00000491,0.0000049,0.0000049,3709.24636234,2018-06-10T09:04:00,0.01820537
102,0.00000491,0.00000491,0.00000491,0.00000491,13943.59828344,2018-06-10T09:05:00,0.06846303
103,0.00000491,0.00000491,0.00000491,0.00000491,4331.49766374,2018-06-10T09:06:00,0.02126763
104,0.0000049,0.0000049,0.0000049,0.0000049,5371.38722058,2018-06-10T09:09:00,0.02631978
105,0.0000049,0.0000049,0.0000049,0.0000049,2386.604131,2018-06-10T09:10:00,0.01169434
106,0.00000491,0.00000491,0.0000049,0.0000049,8123.02510563,2018-06-10T09:11:00,0.03985382
107,0.0000049,0.0000049,0.0000049,0.0000049,9870.23293199,2018-06-10T09:12:00,0.04836414
108,0.0000049,0.0000049,0.0000049,0.0000049,15942.76706801,2018-06-10T09:13:00,0.07811955
109,0.00000491,0.00000491,0.00000489,0.00000489,39839.36871983,2018-06-10T09:14:00,0.19491548
110,0.0000049,0.00000491,0.0000049,0.00000491,15830.81986567,2018-06-10T09:15:00,0.07768774
111,0.0000049,0.0000049,0.0000049,0.0000049,1602.96607299,2018-06-10T09:16:00,0.00785452
112,0.0000049,0.0000049,0.0000049,0.0000049,42438.90632575,2018-06-10T09:17:00,0.20795063
113,0.0000049,0.00000491,0.0000049,0.00000491,10190.61897901,2018-06-10T09:18:00,0.04997504
114,0.0000049,0.00000491,0.00000488,0.00000488,221978.99464927,2018-06-10T09:20:00,1.0849201
115,0.00000489,0.00000491,0.00000488,0.00000491,145469.12573221,2018-06-10T09:21:00,0.71129933
116,0.00000491,0.00000491,0.00000488,0.00000488,206041.49042569,2018-06-10T09:22:00,1.0055981
117,0.0000049,0.0000049,0.00000488,0.00000488,10392,2018-06-10T09:23:00,0.05074211
118,0.00000489,0.0000049,0.00000487,0.00000487,270286.40424326,2018-06-10T09:24:00,1.31873253
119,0.00000487,0.00000487,0.00000487,0.00000487,107535.73896516,2018-06-10T09:25:00,0.52369902
120,0.00000491,0.00000491,0.00000491,0.00000491,352.76150712,2018-06-10T09:27:00,0.00173205
121,0.00000488,0.00000488,0.00000487,0.00000487,107540.20282942,2018-06-10T09:28:00,0.52377944
122,0.00000488,0.00000488,0.00000487,0.00000487,2849.40833888,2018-06-10T09:30:00,0.01388361
123,0.00000488,0.00000491,0.00000488,0.00000491,43620.43605223,2018-06-10T09:32:00,0.2128977
124,0.0000049,0.0000049,0.0000049,0.0000049,8129.05645753,2018-06-10T09:34:00,0.03983236
125,0.00000488,0.00000488,0.00000488,0.00000488,28264.06390241,2018-06-10T09:36:00,0.13792862
126,0.00000488,0.00000488,0.00000488,0.00000488,580,2018-06-10T09:37:00,0.0028304
127,0.00000488,0.00000491,0.00000488,0.0000049,26926.41844556,2018-06-10T09:38:00,0.13206743
128,0.0000049,0.0000049,0.00000488,0.00000488,1096.06453998,2018-06-10T09:39:00,0.00536665
129,0.0000049,0.0000049,0.00000488,0.0000049,15025.16257631,2018-06-10T09:40:00,0.07344188
130,0.0000049,0.00000491,0.0000049,0.00000491,1222,2018-06-10T09:41:00,0.00598882
131,0.00000491,0.00000491,0.00000487,0.00000487,146357.07617532,2018-06-10T09:42:00,0.71544176
132,0.00000488,0.00000488,0.00000487,0.00000487,100000,2018-06-10T09:43:00,0.48703484
