,O,H,L,C,V,T,BV
0,0.00025956,0.00025956,0.00025956,0.00025956,3.60325787,2018-06-04T19:56:00,0.00093526
1,0.00025956,0.00025956,0.00025956,0.00025956,19.41265764,2018-06-04T20:06:00,0.00503874
2,0.00026121,0.00026121,0.00026121,0.00026121,21.8266946,2018-06-04T20:34:00,0.00570135
3,0.00026158,0.00026158,0.00026158,0.00026158,17.2307276,2018-06-04T20:39:00,0.00450721
4,0.00026164,0.00026164,0.00026164,0.00026164,32,2018-06-04T20:58:00,0.00837248
5,0.00026164,0.00026224,0.00026164,0.00026224,26,2018-06-04T20:59:00,0.00680275
6,0.00026045,0.00026045,0.00026045,0.00026045,200,2018-06-04T21:04:00,0.05209
7,0.00026202,0.00026202,0.00026202,0.00026202,32,2018-06-04T21:05:00,0.00838464
8,0.00026224,0.00026224,0.00026224,0.00026224,15.20826142,2018-06-04T21:14:00,0.00398821
9,0.00026038,0.00026038,0.00026038,0.00026038,5.24555592,2018-06-04T21:16:00,0.00136583
10,0.00026007,0.00026224,0.00026007,0.00026224,589,2018-06-04T21:31:00,0.15329188
11,0.00026009,0.00026009,0.00026009,0.00026009,61,2018-06-04T21:48:00,0.01586548
12,0.00026224,0.00026224,0.00026224,0.00026224,55,2018-06-04T22:00:00,0.0144232
13,0.00026224,0.00026224,0.00026224,0.00026224,1.90665039,2018-06-04T22:12:00,0.00049999
14,0.00026224,0.00026224,0.00026224,0.00026224,39.14957006,2018-06-04T22:15:00,0.01026657
15,0.00026224,0.00026224,0.00026224,0.00026224,39,2018-06-04T22:16:00,0.01022736
16,0.00026274,0.00026274,0.00026274,0.00026274,38.04161752,2018-06-04T22:30:00,0.00999505
17,0.00026075,0.00026075,0.00026069,0.00026069,50,2018-06-04T22:33:00,0.01303677
18,0.00026146,0.0002645,0.00026146,0.0002645,157.63322867,2018-06-04T22:36:00,0.04145494
19,0.0002625,0.0002625,0.0002625,0.0002625,25,2018-06-04T22:45:00,0.0065625
20,0.00026157,0.00026157,0.00026157,0.00026157,105.82677259,2018-06-04T22:49:00,0.0276811
21,0.00026153,0.00026153,0.00026153,0.00026153,10,2018-06-04T23:15:00,0.0026153
22,0.00026153,0.00026153,0.00026146,0.00026146,121,2018-06-04T23:20:00,0.03163967
23,0.00026105,0.00026105,0.00026105,0.00026105,38.21107068,2018-06-05T00:11:00,0.009975
24,0.00026,0.00026,0.00026,0.00026,160,2018-06-05T01:15:00,0.0416
25,0.00026,0.00026,0.00026,0.00026,43.63614025,2018-06-05T01:17:00,0.01134539
26,0.00026,0.00026,0.00026,0.00026,83.65,2018-06-05T01:35:00,0.021749
27,0.00026,0.00026,0.00026,0.00026,226.30931408,2018-06-05T01:47:00,0.05884041
28,0.00026,0.00026,0.00026,0.00026,7.69230769,2018-06-05T01:48:00,0.00199999
29,0.0002597,0.0002597,0.0002597,0.0002597,300,2018-06-05T01:52:00,0.07791
30,0.00025956,0.00025956,0.00025956,0.00025956,33,2018-06-05T01:53:00,0.00856548
31,0.00025956,0.00025956,0.00025956,0.00025956,170,2018-06-05T02:11:00,0.0441252
32,0.00025956,0.00025956,0.00025956,0.00025956,58.23445118,2018-06-05T02:12:00,0.01511533
33,0.00025956,0.00025956,0.00025956,0.00025956,6275.79671607,2018-06-05T02:15:00,1.62894578
34,0.00025956,0.00025956,0.00025956,0.00025956,25,2018-06-05T02:17:00,0.006489
35,0.00025956,0.00025956,0.00025956,0.00025956,1104.6403175,2018-06-05T02:24:00,0.28672044
36,0.00025679,0.00025679,0.00025678,0.00025678,49.7162388,2018-06-05T02:35:00,0.01276632
37,0.00025673,0.00025673,0.00025673,0.00025673,1000,2018-06-05T02:36:00,0.25673
38,0.00025673,0.00025673,0.00025673,0.00025673,91.55895285,2018-06-05T02:50:00,0.02350592
39,0.00025673,0.00025673,0.00025673,0.00025673,400.16951361,2018-06-05T03:03:00,0.10273551
40,0.00025673,0.00025673,0.00025673,0.00025673,346.27153354,2018-06-05T03:08:00,0.08889829
41,0.0002567,0.0002567,0.0002567,0.0002567,71,2018-06-05T03:33:00,0.0182257
