time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532749800000,0.00170000,0.00170020,0.00169810,0.00170000,866.15000000,1532749859999,1.47176991,23,135.79000000,0.23077193,0
1532749860000,0.00170000,0.00170170,0.00169860,0.00170020,671.94000000,1532749919999,1.14233855,23,96.28000000,0.16374691,0
1532749920000,0.00170010,0.00170200,0.00170000,0.00170200,561.78000000,1532749979999,0.95507809,26,93.85000000,0.15956878,0
1532749980000,0.00170200,0.00170610,0.00170000,0.00170390,2701.09000000,1532750039999,4.59873306,105,1281.53000000,2.18429494,0
1532750040000,0.00170400,0.00170800,0.00170400,0.00170650,1006.18000000,1532750099999,1.71677687,77,741.40000000,1.26539274,0
1532750100000,0.00170650,0.00171070,0.00170650,0.00170830,1777.73000000,1532750159999,3.03813696,97,1015.51000000,1.73623647,0
1532750160000,0.00170730,0.00170920,0.00170700,0.00170780,527.50000000,1532750219999,0.90078499,34,211.79000000,0.36177988,0
1532750220000,0.00170780,0.00171230,0.00170730,0.00170990,870.18000000,1532750279999,1.48838502,81,565.55000000,0.96756471,0
1532750280000,0.00171200,0.00171360,0.00170940,0.00171270,2973.76000000,1532750339999,5.08855601,119,1258.00000000,2.15433594,0
1532750340000,0.00171360,0.00171360,0.00171010,0.00171170,1535.30000000,1532750399999,2.62845208,73,803.27000000,1.37537347,0
1532750400000,0.00171180,0.00171350,0.00170990,0.00171010,1886.33000000,1532750459999,3.22820065,81,1029.48000000,1.76286664,0
1532750460000,0.00171220,0.00171300,0.00170900,0.00170940,2817.53000000,1532750519999,4.81859736,66,644.31000000,1.10261757,0
1532750520000,0.00170900,0.00171250,0.00170890,0.00170950,101.28000000,1532750579999,0.17316567,21,0.11000000,0.00018834,0
1532750580000,0.00170970,0.00171260,0.00170940,0.00170950,365.90000000,1532750639999,0.62597911,42,178.71000000,0.30591291,0
1532750640000,0.00171040,0.00171300,0.00170910,0.00171180,1247.47000000,1532750699999,2.13344606,49,507.80000000,0.86884590,0
1532750700000,0.00171070,0.00171380,0.00171030,0.00171040,1104.76000000,1532750759999,1.89003783,48,122.45000000,0.20981586,0
1532750760000,0.00171040,0.00171350,0.00171040,0.00171330,527.77000000,1532750819999,0.90339485,30,248.38000000,0.42549884,0
