time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532750220000,0.00008317,0.00008317,0.00008316,0.00008316,349.00000000,1532750279999,0.02902390,3,0.00000000,0.00000000,0
1532750280000,0.00008317,0.00008320,0.00008316,0.00008320,707.00000000,1532750339999,0.05880943,4,176.00000000,0.01464320,0
1532750340000,0.00008318,0.00008326,0.00008318,0.00008325,420.00000000,1532750399999,0.03495285,4,0.00000000,0.00000000,0
1532750400000,0.00008331,0.00008332,0.00008330,0.00008332,709.00000000,1532750459999,0.05906794,4,331.00000000,0.02757732,0
1532750460000,0.00008317,0.00008337,0.00008317,0.00008336,589.00000000,1532750519999,0.04909461,5,452.00000000,0.03767656,0
1532750520000,0.00008332,0.00008332,0.00008324,0.00008324,567.00000000,1532750579999,0.04721916,4,0.00000000,0.00000000,0
1532750580000,0.00008324,0.00008327,0.00008322,0.00008325,1023.00000000,1532750639999,0.08515290,6,828.00000000,0.06891915,0
1532750640000,0.00008344,0.00008344,0.00008335,0.00008336,702.00000000,1532750699999,0.05853601,7,282.00000000,0.02352798,0
1532750700000,0.00008337,0.00008350,0.00008337,0.00008343,908.00000000,1532750759999,0.07574162,6,528.00000000,0.04406102,0
1532750760000,0.00008336,0.00008365,0.00008336,0.00008354,790.00000000,1532750819999,0.06595406,8,523.00000000,0.04368110,0
1532750820000,0.00008341,0.00008341,0.00008341,0.00008341,301.00000000,1532750879999,0.02510641,2,301.00000000,0.02510641,0
1532750880000,0.00008348,0.00008349,0.00008348,0.00008349,372.00000000,1532750939999,0.03105664,3,0.00000000,0.00000000,0
1532750940000,0.00008349,0.00008349,0.00008349,0.00008349,297.00000000,1532750999999,0.02479653,3,0.00000000,0.00000000,0
1532751000000,0.00008349,0.00008349,0.00008349,0.00008349,0.00000000,1532751059999,0.00000000,0,0.00000000,0.00000000,0
1532751060000,0.00008355,0.00008363,0.00008355,0.00008360,305.00000000,1532751119999,0.02549662,3,305.00000000,0.02549662,0
1532751120000,0.00008363,0.00008376,0.00008363,0.00008367,1533.00000000,1532751179999,0.12825490,11,896.00000000,0.07496694,0
1532751180000,0.00008367,0.00008378,0.00008366,0.00008372,3243.00000000,1532751239999,0.27148564,9,2701.00000000,0.22613710,0
1532751240000,0.00008378,0.00008383,0.00008375,0.00008381,897.00000000,1532751299999,0.07516138,6,524.00000000,0.04389679,0
1532751300000,0.00008377,0.00008377,0.00008377,0.00008377,954.00000000,1532751359999,0.07991658,3,134.00000000,0.01122518,0
1532751360000,0.00008366,0.00008376,0.00008366,0.00008376,1120.00000000,1532751419999,0.09378756,6,334.00000000,0.02797312,0
1532751420000,0.00008366,0.00008374,0.00008366,0.00008372,1152.00000000,1532751479999,0.09642040,6,307.00000000,0.02570652,0
1532751480000,0.00008368,0.00008373,0.00008365,0.00008366,701.00000000,1532751539999,0.05865273,5,368.00000000,0.03079132,0
1532751540000,0.00008350,0.00008370,0.00008323,0.00008354,1144.00000000,1532751599999,0.09560304,9,416.00000000,0.03480174,0
1532751600000,0.00008349,0.00008355,0.00008346,0.00008355,633.00000000,1532751659999,0.05285479,6,466.00000000,0.03890194,0
1532751660000,0.00008362,0.00008362,0.00008362,0.00008362,254.00000000,1532751719999,0.02123948,1,0.00000000,0.00000000,0
1532751720000,0.00008365,0.00008369,0.00008363,0.00008369,411.00000000,1532751779999,0.03438559,4,197.00000000,0.01648693,0
1532751780000,0.00008361,0.00008361,0.00008352,0.00008354,509.00000000,1532751839999,0.04253581,4,106.00000000,0.00886266,0
1532751840000,0.00008370,0.00008374,0.00008352,0.00008374,1376.00000000,1532751899999,0.11506842,19,1122.00000000,0.09384926,0
1532751900000,0.00008374,0.00008384,0.00008350,0.00008350,321.00000000,1532751959999,0.02686927,7,119.00000000,0.00997076,0
1532751960000,0.00008359,0.00008364,0.00008355,0.00008361,653.00000000,1532752019999,0.05458864,5,164.00000000,0.01371204,0
1532752020000,0.00008345,0.00008366,0.00008345,0.00008366,118.00000000,1532752079999,0.00987104,2,114.00000000,0.00953724,0
1532752080000,0.00008366,0.00008366,0.00008366,0.00008366,0.00000000,1532752139999,0.00000000,0,0.00000000,0.00000000,0
1532752140000,0.00008366,0.00008366,0.00008366,0.00008366,0.00000000,1532752199999,0.00000000,0,0.00000000,0.00000000,0
1532752200000,0.00008367,0.00008367,0.00008366,0.00008366,256.00000000,1532752259999,0.02141821,2,131.00000000,0.01095946,0
1532752260000,0.00008359,0.00008366,0.00008359,0.00008363,494.00000000,1532752319999,0.04130615,7,258.00000000,0.02157170,0
1532752320000,0.00008369,0.00008377,0.00008368,0.00008374,835.00000000,1532752379999,0.06990771,5,835.00000000,0.06990771,0
1532752380000,0.00008366,0.00008374,0.00008361,0.00008363,1052.00000000,1532752439999,0.08800614,7,412.00000000,0.03447182,0
1532752440000,0.00008374,0.00008374,0.00008367,0.00008367,892.00000000,1532752499999,0.07465198,8,806.00000000,0.06745464,0
1532752500000,0.00008359,0.00008360,0.00008353,0.00008355,458.00000000,1532752559999,0.03827343,4,214.00000000,0.01788925,0
1532752560000,0.00008360,0.00008360,0.00008359,0.00008360,793.00000000,1532752619999,0.06629324,4,571.00000000,0.04773404,0
1532752620000,0.00008359,0.00008368,0.00008350,0.00008350,1332.00000000,1532752679999,0.11135286,9,914.00000000,0.07644986,0
1532752680000,0.00008348,0.00008367,0.00008348,0.00008358,1203.00000000,1532752739999,0.10054677,8,991.00000000,0.08282781,0
1532752740000,0.00008364,0.00008364,0.00008357,0.00008357,307.00000000,1532752799999,0.02566908,2,187.00000000,0.01564068,0
1532752800000,0.00008364,0.00008364,0.00008362,0.00008363,1639.00000000,1532752859999,0.13706931,5,923.00000000,0.07719049,0
1532752860000,0.00008363,0.00008363,0.00008363,0.00008363,0.00000000,1532752919999,0.00000000,0,0.00000000,0.00000000,0
1532752920000,0.00008366,0.00008368,0.00008358,0.00008361,1722.00000000,1532752979999,0.14406104,7,1574.00000000,0.13167936,0
1532752980000,0.00008365,0.00008365,0.00008360,0.00008361,620.00000000,1532753039999,0.05185028,4,340.00000000,0.02843360,0
1532753040000,0.00008358,0.00008368,0.00008355,0.00008355,646.00000000,1532753099999,0.05399652,5,521.00000000,0.04355277,0
1532753100000,0.00008357,0.00008361,0.00008355,0.00008355,823.00000000,1532753159999,0.06877845,4,434.00000000,0.03627750,0
1532753160000,0.00008360,0.00008361,0.00008349,0.00008360,781.00000000,1532753219999,0.06528717,6,204.00000000,0.01705440,0
1532753220000,0.00008362,0.00008365,0.00008309,0.00008309,2261.00000000,1532753279999,0.18826375,17,217.00000000,0.01814224,0
1532753280000,0.00008347,0.00008347,0.00008340,0.00008340,274.00000000,1532753339999,0.02286358,6,105.00000000,0.00875715,0
1532753340000,0.00008332,0.00008335,0.00008310,0.00008335,707.00000000,1532753399999,0.05891844,5,460.00000000,0.03833424,0
1532753400000,0.00008338,0.00008340,0.00008336,0.00008336,509.00000000,1532753459999,0.04243729,5,114.00000000,0.00950741,0
1532753460000,0.00008337,0.00008342,0.00008337,0.00008339,497.00000000,1532753519999,0.04144380,4,0.00000000,0.00000000,0
1532753520000,0.00008338,0.00008350,0.00008338,0.00008345,540.00000000,1532753579999,0.04505112,7,360.00000000,0.03003012,0
1532753580000,0.00008348,0.00008350,0.00008346,0.00008350,855.00000000,1532753639999,0.07137352,5,855.00000000,0.07137352,0
1532753640000,0.00008348,0.00008363,0.00008344,0.00008351,1135.00000000,1532753699999,0.09477675,9,519.00000000,0.04336789,0
1532753700000,0.00008351,0.00008353,0.00008351,0.00008352,728.00000000,1532753759999,0.06080047,4,197.00000000,0.01645344,0
1532753760000,0.00008350,0.00008359,0.00008350,0.00008351,735.00000000,1532753819999,0.06139748,5,0.00000000,0.00000000,0
1532753820000,0.00008359,0.00008379,0.00008354,0.00008360,3922.00000000,1532753879999,0.32787741,10,3170.00000000,0.26502775,0
1532753880000,0.00008368,0.00008373,0.00008364,0.00008373,457.00000000,1532753939999,0.03824997,5,208.00000000,0.01740120,0
1532753940000,0.00008370,0.00008370,0.00008370,0.00008370,917.00000000,1532753999999,0.07675290,4,448.00000000,0.03749760,0
1532754000000,0.00008372,0.00008378,0.00008362,0.00008376,793.00000000,1532754059999,0.06640254,6,567.00000000,0.04747002,0
1532754060000,0.00008369,0.00008370,0.00008363,0.00008364,850.00000000,1532754119999,0.07111383,5,453.00000000,0.03788680,0
1532754120000,0.00008370,0.00008373,0.00008369,0.00008372,735.00000000,1532754179999,0.06152554,4,532.00000000,0.04453647,0
1532754180000,0.00008370,0.00008370,0.00008363,0.00008366,461.00000000,1532754239999,0.03857463,4,339.00000000,0.02836323,0
1532754240000,0.00008372,0.00008376,0.00008372,0.00008376,469.00000000,1532754299999,0.03926681,5,308.00000000,0.02578628,0
1532754300000,0.00008363,0.00008366,0.00008363,0.00008366,427.00000000,1532754359999,0.03571655,2,218.00000000,0.01823788,0
1532754360000,0.00008384,0.00008386,0.00008370,0.00008370,297.00000000,1532754419999,0.02486405,4,153.00000000,0.01281125,0
1532754420000,0.00008368,0.00008368,0.00008368,0.00008368,29.00000000,1532754479999,0.00242672,1,0.00000000,0.00000000,0
1532754480000,0.00008368,0.00008368,0.00008368,0.00008368,0.00000000,1532754539999,0.00000000,0,0.00000000,0.00000000,0
1532754540000,0.00008374,0.00008379,0.00008374,0.00008377,590.00000000,1532754599999,0.04942237,3,391.00000000,0.03275214,0
1532754600000,0.00008372,0.00008375,0.00008351,0.00008368,1506.00000000,1532754659999,0.12598962,8,260.00000000,0.02177500,0
1532754660000,0.00008366,0.00008368,0.00008360,0.00008360,912.00000000,1532754719999,0.07627250,4,423.00000000,0.03539210,0
1532754720000,0.00008359,0.00008375,0.00008358,0.00008375,721.00000000,1532754779999,0.06028208,7,640.00000000,0.05349833,0
1532754780000,0.00008391,0.00008391,0.00008368,0.00008368,97.00000000,1532754839999,0.00811719,2,97.00000000,0.00811719,0
1532754840000,0.00008376,0.00008376,0.00008376,0.00008376,157.00000000,1532754899999,0.01315032,1,157.00000000,0.01315032,0
1532754900000,0.00008376,0.00008376,0.00008376,0.00008376,0.00000000,1532754959999,0.00000000,0,0.00000000,0.00000000,0
1532754960000,0.00008367,0.00008367,0.00008366,0.00008366,225.00000000,1532755019999,0.01882459,3,0.00000000,0.00000000,0
1532755020000,0.00008366,0.00008374,0.00008366,0.00008374,597.00000000,1532755079999,0.04997686,5,373.00000000,0.03121942,0
1532755080000,0.00008370,0.00008385,0.00008368,0.00008374,1754.00000000,1532755139999,0.14696933,9,1654.00000000,0.13859033,0
1532755140000,0.00008380,0.00008380,0.00008350,0.00008350,836.00000000,1532755199999,0.06996458,5,403.00000000,0.03371901,0
1532755200000,0.00008360,0.00008368,0.00008359,0.00008367,568.00000000,1532755259999,0.04750923,6,233.00000000,0.01949605,0
1532755260000,0.00008367,0.00008368,0.00008366,0.00008366,612.00000000,1532755319999,0.05120544,5,486.00000000,0.04066302,0
1532755320000,0.00008364,0.00008367,0.00008359,0.00008359,711.00000000,1532755379999,0.05945573,4,563.00000000,0.04707701,0
1532755380000,0.00008362,0.00008368,0.00008350,0.00008350,819.00000000,1532755439999,0.06847098,7,653.00000000,0.05460008,0
1532755440000,0.00008353,0.00008368,0.00008353,0.00008368,608.00000000,1532755499999,0.05084744,5,503.00000000,0.04207679,0
1532755500000,0.00008374,0.00008376,0.00008374,0.00008376,413.00000000,1532755559999,0.03458866,2,202.00000000,0.01691952,0
1532755560000,0.00008373,0.00008374,0.00008366,0.00008368,562.00000000,1532755619999,0.04704152,4,255.00000000,0.02134240,0
1532755620000,0.00008375,0.00008380,0.00008350,0.00008379,569.00000000,1532755679999,0.04766333,6,430.00000000,0.03601766,0
1532755680000,0.00008373,0.00008379,0.00008352,0.00008352,884.00000000,1532755739999,0.07401149,6,559.00000000,0.04681061,0
1532755740000,0.00008376,0.00008376,0.00008373,0.00008373,386.00000000,1532755799999,0.03232788,3,0.00000000,0.00000000,0
