time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532749260000,0.00101760,0.00101800,0.00101710,0.00101770,2973.88000000,1532749319999,3.02640733,16,2923.51000000,2.97516091,0
1532749320000,0.00101780,0.00101840,0.00101780,0.00101790,2695.83000000,1532749379999,2.74389276,14,1185.00000000,1.20616980,0
1532749380000,0.00101780,0.00101840,0.00101770,0.00101780,1314.25000000,1532749439999,1.33772273,22,472.40000000,0.48082264,0
1532749440000,0.00101780,0.00101830,0.00101750,0.00101750,1524.73000000,1532749499999,1.55167735,40,1097.65000000,1.11709538,0
1532749500000,0.00101760,0.00101850,0.00101710,0.00101780,3512.71000000,1532749559999,3.57476224,25,2957.12000000,3.00960462,0
1532749560000,0.00101780,0.00101860,0.00101700,0.00101700,2908.86000000,1532749619999,2.96154303,26,2894.39000000,2.94681713,0
1532749620000,0.00101750,0.00101750,0.00101690,0.00101690,5539.42000000,1532749679999,5.63536478,23,5316.71000000,5.40878062,0
1532749680000,0.00101690,0.00101740,0.00101560,0.00101600,4106.06000000,1532749739999,4.17473824,66,1866.82000000,1.89888269,0
1532749740000,0.00101600,0.00101660,0.00101520,0.00101620,3581.77000000,1532749799999,3.63912948,48,2899.94000000,2.94685757,0
1532749800000,0.00101590,0.00101740,0.00101580,0.00101620,2200.15000000,1532749859999,2.23584576,33,1177.35000000,1.19665795,0
1532749860000,0.00101610,0.00101690,0.00101520,0.00101590,1843.38000000,1532749919999,1.87288067,36,1823.02000000,1.85219182,0
1532749920000,0.00101580,0.00101750,0.00101560,0.00101750,2761.87000000,1532749979999,2.80704537,39,2244.10000000,2.28052975,0
1532749980000,0.00101750,0.00101810,0.00101730,0.00101740,1969.64000000,1532750039999,2.00423039,25,184.39000000,0.18764227,0
1532750040000,0.00101730,0.00101850,0.00101710,0.00101790,3163.21000000,1532750099999,3.21940641,29,1705.64000000,1.73636507,0
1532750100000,0.00101840,0.00101860,0.00101790,0.00101800,4862.01000000,1532750159999,4.95068382,28,1660.29000000,1.69067611,0
1532750160000,0.00101790,0.00101920,0.00101780,0.00101890,5171.51000000,1532750219999,5.26701494,38,3026.08000000,3.08166308,0
1532750220000,0.00101920,0.00102110,0.00101880,0.00101990,4076.40000000,1532750279999,4.15564816,45,890.80000000,0.90810688,0
1532750280000,0.00101990,0.00102050,0.00101840,0.00101840,5060.28000000,1532750339999,5.16010576,16,2453.51000000,2.50211749,0
1532750340000,0.00101920,0.00101970,0.00101890,0.00101950,4478.45000000,1532750399999,4.56432111,24,1634.84000000,1.66630370,0
1532750400000,0.00101950,0.00102010,0.00101530,0.00101840,4802.63000000,1532750459999,4.89006058,81,3101.85000000,3.15811220,0
1532750460000,0.00101830,0.00101860,0.00101780,0.00101860,3580.31000000,1532750519999,3.64506442,23,1697.68000000,1.72866756,0
1532750520000,0.00101860,0.00101990,0.00101750,0.00101780,16347.31000000,1532750579999,16.64476988,57,12576.92000000,12.80606918,0
1532750580000,0.00101780,0.00101930,0.00101780,0.00101890,3991.16000000,1532750639999,4.06389057,23,2880.43000000,2.93282695,0
1532750640000,0.00101890,0.00101940,0.00101860,0.00101870,8741.55000000,1532750699999,8.90554480,60,8121.98000000,8.27429639,0
1532750700000,0.00101920,0.00102000,0.00101920,0.00101980,6681.39000000,1532750759999,6.81185691,37,5932.83000000,6.04885703,0
1532750760000,0.00101980,0.00102080,0.00101950,0.00101970,2195.85000000,1532750819999,2.23904800,15,646.60000000,0.65947120,0
1532750820000,0.00101960,0.00102050,0.00101880,0.00102050,3812.24000000,1532750879999,3.88748863,29,3317.47000000,3.38293118,0
1532750880000,0.00102050,0.00102050,0.00101990,0.00102040,4544.25000000,1532750939999,4.63580141,19,2351.53000000,2.39934884,0
