time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532750160000,0.05741200,0.05746000,0.05737500,0.05745400,119.89700000,1532750219999,6.88430387,71,73.14400000,4.20065754,0
1532750220000,0.05742400,0.05746000,0.05738300,0.05743500,72.13300000,1532750279999,4.14241815,77,27.10600000,1.55665752,0
1532750280000,0.05745600,0.05745600,0.05742400,0.05743700,29.23500000,1532750339999,1.67902265,66,14.09700000,0.80965526,0
1532750340000,0.05743700,0.05743800,0.05737200,0.05743100,34.64400000,1532750399999,1.98934540,61,15.97300000,0.91721100,0
1532750400000,0.05743800,0.05743800,0.05737200,0.05737300,13.98800000,1532750459999,0.80294107,48,8.52900000,0.48959345,0
1532750460000,0.05739900,0.05739900,0.05737200,0.05739200,31.15900000,1532750519999,1.78782436,47,9.21500000,0.52883181,0
1532750520000,0.05739200,0.05739300,0.05737200,0.05737700,43.19000000,1532750579999,2.47818150,45,19.54600000,1.12165735,0
1532750580000,0.05737200,0.05738300,0.05731100,0.05734900,24.85400000,1532750639999,1.42545081,33,0.99100000,0.05686229,0
1532750640000,0.05734900,0.05736900,0.05734200,0.05736000,147.11500000,1532750699999,8.43715069,47,3.35000000,0.19215867,0
1532750700000,0.05736000,0.05736000,0.05734200,0.05734600,18.35800000,1532750759999,1.05279751,58,12.30300000,0.70558992,0
1532750760000,0.05734200,0.05734900,0.05734200,0.05734900,18.24000000,1532750819999,1.04597117,61,10.81200000,0.62003184,0
1532750820000,0.05734300,0.05736700,0.05731100,0.05736700,22.89800000,1532750879999,1.31327729,51,17.89200000,1.02621108,0
1532750880000,0.05739200,0.05739200,0.05732500,0.05733200,27.38800000,1532750939999,1.57104675,58,14.87900000,0.85360416,0
1532750940000,0.05734900,0.05735000,0.05733100,0.05733300,14.73200000,1532750999999,0.84474744,48,8.85800000,0.50796613,0
1532751000000,0.05734800,0.05735000,0.05733200,0.05733300,204.91900000,1532751059999,11.74926273,43,33.33700000,1.91168385,0
1532751060000,0.05733300,0.05738300,0.05733300,0.05733800,71.05200000,1532751119999,4.07412210,48,8.47000000,0.48600751,0
1532751120000,0.05733800,0.05737200,0.05733200,0.05735000,17.37000000,1532751179999,0.99611314,40,10.52100000,0.60341350,0
1532751180000,0.05737000,0.05737200,0.05735000,0.05737200,10.57200000,1532751239999,0.60639039,46,5.27400000,0.30253444,0
1532751240000,0.05735600,0.05737100,0.05735600,0.05737000,21.45700000,1532751299999,1.23081722,33,3.97000000,0.22775110,0
1532751300000,0.05737000,0.05738300,0.05736000,0.05736100,34.80600000,1532751359999,1.99688491,68,24.85000000,1.42576483,0
1532751360000,0.05736200,0.05738200,0.05736100,0.05738100,88.36100000,1532751419999,5.06959375,39,74.75800000,4.28930032,0
1532751420000,0.05736900,0.05738200,0.05736700,0.05736700,151.31900000,1532751479999,8.68152350,47,70.88200000,4.06699866,0
1532751480000,0.05738200,0.05738200,0.05736700,0.05738200,183.58300000,1532751539999,10.53247218,43,88.69700000,5.08903950,0
1532751540000,0.05737500,0.05738200,0.05736100,0.05736100,51.73100000,1532751599999,2.96789038,49,25.36600000,1.45538976,0
1532751600000,0.05736100,0.05736200,0.05733100,0.05734000,19.81500000,1532751659999,1.13649130,36,3.56500000,0.20444996,0
1532751660000,0.05734000,0.05735000,0.05731100,0.05734000,64.85700000,1532751719999,3.71834441,54,24.18200000,1.38647194,0
1532751720000,0.05734000,0.05734000,0.05731700,0.05733800,30.13900000,1532751779999,1.72793676,30,19.80300000,1.13541520,0
1532751780000,0.05733800,0.05735000,0.05731700,0.05734800,15.43200000,1532751839999,0.88485130,36,10.02500000,0.57487732,0
1532751840000,0.05732600,0.05735000,0.05731700,0.05735000,113.34300000,1532751899999,6.49792911,64,37.68100000,2.16053012,0
1532751900000,0.05732700,0.05735000,0.05732700,0.05733100,215.10600000,1532751959999,12.33254648,37,34.83400000,1.99736234,0
1532751960000,0.05735000,0.05735000,0.05733000,0.05733100,349.39400000,1532752019999,20.03153687,35,48.43700000,2.77727370,0
1532752020000,0.05734600,0.05734700,0.05733000,0.05733800,179.87000000,1532752079999,10.31289799,35,41.32800000,2.36966793,0
1532752080000,0.05734700,0.05738000,0.05733800,0.05734100,115.73000000,1532752139999,6.63637210,29,95.97200000,5.50346763,0
1532752140000,0.05736300,0.05736400,0.05734000,0.05734500,120.93600000,1532752199999,6.93572280,38,88.83600000,5.09504193,0
1532752200000,0.05734400,0.05736600,0.05734400,0.05734900,161.28900000,1532752259999,9.25102226,54,119.00000000,6.82580290,0
1532752260000,0.05736200,0.05736400,0.05734800,0.05734800,110.46500000,1532752319999,6.33539944,64,47.00600000,2.69603270,0
1532752320000,0.05734900,0.05736300,0.05732000,0.05734400,24.97300000,1532752379999,1.43191341,77,2.67600000,0.15346516,0
1532752380000,0.05733200,0.05735400,0.05733200,0.05735200,12.82800000,1532752439999,0.73558513,41,7.77200000,0.44570414,0
1532752440000,0.05733300,0.05735400,0.05733200,0.05733300,24.38200000,1532752499999,1.39814373,41,13.20700000,0.75745035,0
1532752500000,0.05733200,0.05735300,0.05733200,0.05734800,117.04800000,1532752559999,6.71074141,35,12.18900000,0.69886206,0
1532752560000,0.05735200,0.05735300,0.05730000,0.05732500,265.69300000,1532752619999,15.23111882,55,93.46700000,5.35900202,0
1532752620000,0.05732300,0.05737900,0.05732200,0.05737700,155.03000000,1532752679999,8.88792237,58,147.10600000,8.43354112,0
1532752680000,0.05736000,0.05738000,0.05735000,0.05735200,44.15000000,1532752739999,2.53275828,49,27.89800000,1.60055862,0
1532752740000,0.05735100,0.05737200,0.05733100,0.05733700,31.27900000,1532752799999,1.79419670,63,19.35800000,1.11053152,0
1532752800000,0.05734100,0.05738600,0.05734100,0.05734700,29.32700000,1532752859999,1.68188471,48,2.64900000,0.15198995,0
1532752860000,0.05734700,0.05736600,0.05733700,0.05733700,96.31800000,1532752919999,5.52369628,63,33.40700000,1.91601949,0
1532752920000,0.05733700,0.05736600,0.05733700,0.05733700,42.53000000,1532752979999,2.43856827,44,1.94100000,0.11130465,0
1532752980000,0.05733700,0.05733700,0.05730100,0.05732200,51.58400000,1532753039999,2.95715380,59,28.48600000,1.63304323,0
1532753040000,0.05732200,0.05735800,0.05729900,0.05730300,26.47000000,1532753099999,1.51751949,52,14.64100000,0.83936651,0
1532753100000,0.05731300,0.05734900,0.05727800,0.05729800,63.36500000,1532753159999,3.63093417,71,11.57900000,0.66362634,0
1532753160000,0.05727900,0.05729900,0.05726600,0.05726600,65.67000000,1532753219999,3.76122962,64,36.00700000,2.06229062,0
1532753220000,0.05729300,0.05729300,0.05726600,0.05728600,33.71100000,1532753279999,1.93092909,45,26.55300000,1.52101554,0
1532753280000,0.05726700,0.05731500,0.05726600,0.05726600,13.42700000,1532753339999,0.76909101,48,6.13700000,0.35159823,0
1532753340000,0.05725500,0.05726800,0.05722100,0.05726700,32.59100000,1532753399999,1.86528297,53,9.73500000,0.55733175,0
1532753400000,0.05725900,0.05731400,0.05724900,0.05725500,16.11200000,1532753459999,0.92267838,42,13.75500000,0.78773578,0
1532753460000,0.05725700,0.05729400,0.05725100,0.05729400,33.84900000,1532753519999,1.93830774,57,11.80600000,0.67618449,0
1532753520000,0.05728800,0.05728800,0.05724800,0.05726800,22.07300000,1532753579999,1.26378282,44,8.34200000,0.47770298,0
1532753580000,0.05726500,0.05727100,0.05724800,0.05724800,38.08700000,1532753639999,2.18058211,45,9.31700000,0.53352739,0
1532753640000,0.05724800,0.05725500,0.05721900,0.05723400,106.37800000,1532753699999,6.08958131,71,19.16100000,1.09673404,0
1532753700000,0.05722600,0.05724900,0.05719000,0.05722200,56.70100000,1532753759999,3.24464224,47,31.65300000,1.81164332,0
1532753760000,0.05722200,0.05722700,0.05720000,0.05722100,141.76800000,1532753819999,8.11209868,56,114.66200000,6.56130218,0
1532753820000,0.05722100,0.05722100,0.05717000,0.05717300,31.30800000,1532753879999,1.79061462,52,9.10800000,0.52102483,0
1532753880000,0.05719200,0.05720900,0.05714900,0.05718700,57.48600000,1532753939999,3.28761922,100,41.98700000,2.40136228,0
1532753940000,0.05718500,0.05718700,0.05715600,0.05718400,26.71400000,1532753999999,1.52747840,72,22.17000000,1.26771014,0
1532754000000,0.05718500,0.05723700,0.05710000,0.05717800,69.19000000,1532754059999,3.95590238,127,43.69800000,2.49936754,0
1532754060000,0.05715900,0.05721000,0.05715800,0.05721000,23.47500000,1532754119999,1.34216447,41,17.76400000,1.01572055,0
1532754120000,0.05721500,0.05721500,0.05715500,0.05717200,31.06900000,1532754179999,1.77620641,36,18.67700000,1.06790366,0
1532754180000,0.05715500,0.05717300,0.05710000,0.05716400,43.05900000,1532754239999,2.46020319,49,10.52300000,0.60158075,0
1532754240000,0.05714500,0.05716500,0.05710000,0.05711900,73.29100000,1532754299999,4.18699902,118,37.49200000,2.14200719,0
1532754300000,0.05712000,0.05714400,0.05712000,0.05714300,66.77800000,1532754359999,3.81556287,103,56.77300000,3.24398926,0
1532754360000,0.05712500,0.05714400,0.05711900,0.05713200,29.55500000,1532754419999,1.68873521,51,22.45900000,1.28336740,0
1532754420000,0.05712400,0.05716400,0.05712400,0.05714100,19.97900000,1532754479999,1.14192698,73,16.07500000,0.91883910,0
1532754480000,0.05714100,0.05716100,0.05714100,0.05715800,7.35000000,1532754539999,0.42006928,22,4.31400000,0.24656902,0
1532754540000,0.05715800,0.05716400,0.05712000,0.05716300,22.14800000,1532754599999,1.26570263,44,12.34400000,0.70561181,0
1532754600000,0.05714300,0.05716400,0.05712000,0.05716100,18.35800000,1532754659999,1.04917706,46,8.58000000,0.49043540,0
1532754660000,0.05713500,0.05717300,0.05711200,0.05713800,31.81600000,1532754719999,1.81791579,52,9.58600000,0.54800735,0
1532754720000,0.05711400,0.05714400,0.05706500,0.05712800,72.96000000,1532754779999,4.16664451,66,21.43100000,1.22412665,0
1532754780000,0.05712800,0.05716000,0.05711800,0.05714400,49.72000000,1532754839999,2.84119613,61,33.18200000,1.89622346,0
1532754840000,0.05716000,0.05721500,0.05714400,0.05714400,47.35400000,1532754899999,2.70703075,69,29.46600000,1.68482627,0
1532754900000,0.05714400,0.05716200,0.05711000,0.05711100,25.78700000,1532754959999,1.47365677,48,11.65700000,0.66629375,0
1532754960000,0.05711100,0.05716000,0.05711100,0.05716000,16.94300000,1532755019999,0.96825100,54,11.68600000,0.66794252,0
1532755020000,0.05716100,0.05719800,0.05711800,0.05712200,31.64500000,1532755079999,1.80845248,76,16.64000000,0.95111001,0
