time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532750400000,0.00000989,0.00000991,0.00000989,0.00000991,14241.00000000,1532750459999,0.14099212,8,7529.00000000,0.07461044,0
1532750460000,0.00000991,0.00000991,0.00000989,0.00000989,52776.00000000,1532750519999,0.52234626,16,11738.00000000,0.11628756,0
1532750520000,0.00000988,0.00000994,0.00000985,0.00000994,454618.00000000,1532750579999,4.50292660,45,115689.00000000,1.14599150,0
1532750580000,0.00000991,0.00000993,0.00000991,0.00000993,116917.00000000,1532750639999,1.15877757,10,2872.00000000,0.02847188,0
1532750640000,0.00000992,0.00000992,0.00000987,0.00000989,95333.00000000,1532750699999,0.94177055,19,10887.00000000,0.10776041,0
1532750700000,0.00000989,0.00000989,0.00000986,0.00000986,10544.00000000,1532750759999,0.10418933,6,6084.00000000,0.06017076,0
1532750760000,0.00000986,0.00000988,0.00000986,0.00000988,78786.00000000,1532750819999,0.77722278,12,47718.00000000,0.47079230,0
1532750820000,0.00000988,0.00000988,0.00000987,0.00000987,6386.00000000,1532750879999,0.06307064,6,4932.00000000,0.04871966,0
1532750880000,0.00000987,0.00000987,0.00000986,0.00000987,30342.00000000,1532750939999,0.29943821,9,3776.00000000,0.03726912,0
1532750940000,0.00000988,0.00000988,0.00000987,0.00000987,6399.00000000,1532750999999,0.06317212,2,1399.00000000,0.01382212,0
1532751000000,0.00000987,0.00000987,0.00000987,0.00000987,517.00000000,1532751059999,0.00510279,1,0.00000000,0.00000000,0
1532751060000,0.00000987,0.00000988,0.00000985,0.00000985,23823.00000000,1532751119999,0.23483788,12,7111.00000000,0.07013468,0
1532751120000,0.00000986,0.00000988,0.00000984,0.00000985,141962.00000000,1532751179999,1.39757168,26,25840.00000000,0.25459909,0
1532751180000,0.00000985,0.00000988,0.00000985,0.00000986,31664.00000000,1532751239999,0.31225237,19,8112.00000000,0.08012226,0
1532751240000,0.00000986,0.00000990,0.00000985,0.00000986,27276.00000000,1532751299999,0.26918138,26,9770.00000000,0.09654080,0
1532751300000,0.00000985,0.00000989,0.00000985,0.00000986,68710.00000000,1532751359999,0.67815396,21,33751.00000000,0.33334852,0
1532751360000,0.00000987,0.00000988,0.00000985,0.00000985,52135.00000000,1532751419999,0.51406637,28,35494.00000000,0.35012109,0
1532751420000,0.00000986,0.00000987,0.00000985,0.00000985,73252.00000000,1532751479999,0.72170119,23,11053.00000000,0.10904104,0
1532751480000,0.00000987,0.00000990,0.00000985,0.00000988,91229.00000000,1532751539999,0.90174271,25,83883.00000000,0.82934176,0
