time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532288400000,0.00024002,0.00024016,0.00023967,0.00023967,7841.00000000,1532288459999,1.88087476,21,1421.00000000,0.34111019,0
1532288460000,0.00023998,0.00023998,0.00023998,0.00023998,1925.00000000,1532288519999,0.46196150,4,1925.00000000,0.46196150,0
1532288520000,0.00023998,0.00023999,0.00023976,0.00023998,1300.00000000,1532288579999,0.31180758,7,855.00000000,0.20510492,0
1532288580000,0.00023977,0.00023999,0.00023976,0.00023999,2364.00000000,1532288639999,0.56680423,7,289.00000000,0.06930168,0
1532288640000,0.00023998,0.00023999,0.00023998,0.00023999,918.00000000,1532288699999,0.22030190,2,918.00000000,0.22030190,0
1532288700000,0.00023999,0.00023999,0.00023979,0.00023999,5313.00000000,1532288759999,1.27450497,12,3307.00000000,0.79348623,0
1532288760000,0.00023996,0.00023998,0.00023979,0.00023979,1388.00000000,1532288819999,0.33308441,7,1351.00000000,0.32421218,0
1532288820000,0.00023982,0.00023999,0.00023978,0.00023998,1031.00000000,1532288879999,0.24732140,5,531.00000000,0.12742940,0
1532288880000,0.00023979,0.00023980,0.00023979,0.00023980,1639.00000000,1532288939999,0.39301808,5,172.00000000,0.04124560,0
1532288940000,0.00023999,0.00023999,0.00023998,0.00023998,12.00000000,1532288999999,0.00287986,3,11.00000000,0.00263988,0
1532289000000,0.00023978,0.00023998,0.00023969,0.00023970,3189.00000000,1532289059999,0.76476855,12,2169.00000000,0.52027555,0
1532289060000,0.00023984,0.00023984,0.00023970,0.00023971,5475.00000000,1532289119999,1.31262602,5,1808.00000000,0.43363072,0
1532289120000,0.00023970,0.00023997,0.00023970,0.00023997,761.00000000,1532289179999,0.18260340,2,710.00000000,0.17037870,0
1532289180000,0.00023997,0.00023998,0.00023950,0.00023997,1022.00000000,1532289239999,0.24497899,12,175.00000000,0.04199529,0
1532289240000,0.00023955,0.00023955,0.00023950,0.00023950,2592.00000000,1532289299999,0.62078782,3,0.00000000,0.00000000,0
1532289300000,0.00023950,0.00023987,0.00023950,0.00023987,897.00000000,1532289359999,0.21497179,5,529.00000000,0.12683579,0
1532289360000,0.00023973,0.00023987,0.00023973,0.00023987,3198.00000000,1532289419999,0.76685618,5,3099.00000000,0.74310905,0
1532289420000,0.00023985,0.00023985,0.00023985,0.00023985,305.00000000,1532289479999,0.07315425,2,305.00000000,0.07315425,0
1532289480000,0.00023984,0.00023987,0.00023984,0.00023986,61.00000000,1532289539999,0.01463047,4,51.00000000,0.01223187,0
1532289540000,0.00023987,0.00023987,0.00023960,0.00023960,644.00000000,1532289599999,0.15436035,5,210.00000000,0.05037119,0
1532289600000,0.00023960,0.00023985,0.00023960,0.00023961,5123.00000000,1532289659999,1.22784965,10,2414.00000000,0.57874662,0
1532289660000,0.00023985,0.00023985,0.00023972,0.00023985,1139.00000000,1532289719999,0.27314027,8,1119.00000000,0.26834327,0
1532289720000,0.00023986,0.00023999,0.00023966,0.00023999,1768.00000000,1532289779999,0.42385081,9,506.00000000,0.12139989,0
1532289780000,0.00023997,0.00023999,0.00023955,0.00023969,3120.00000000,1532289839999,0.74820174,13,1308.00000000,0.31390342,0
1532289840000,0.00023969,0.00023986,0.00023969,0.00023976,2042.00000000,1532289899999,0.48956502,5,609.00000000,0.14607474,0
1532289900000,0.00023975,0.00023975,0.00023975,0.00023975,533.00000000,1532289959999,0.12778675,3,0.00000000,0.00000000,0
1532289960000,0.00023995,0.00024024,0.00023995,0.00024024,942.00000000,1532290019999,0.22608458,5,942.00000000,0.22608458,0
1532290020000,0.00024024,0.00024046,0.00024000,0.00024046,1356.00000000,1532290079999,0.32598057,11,1346.00000000,0.32357832,0
1532290080000,0.00024049,0.00024051,0.00024049,0.00024051,2660.00000000,1532290139999,0.63972688,4,0.00000000,0.00000000,0
1532290140000,0.00024050,0.00024101,0.00024050,0.00024101,3274.00000000,1532290199999,0.78823356,12,2701.00000000,0.65040141,0
1532290200000,0.00024095,0.00024100,0.00024095,0.00024100,1029.00000000,1532290259999,0.24798260,7,901.00000000,0.21714100,0
1532290260000,0.00024101,0.00024176,0.00024101,0.00024103,1214.00000000,1532290319999,0.29288213,23,916.00000000,0.22102577,0
