time,open,high,low,close,volume,ctime,quote,ntrades,tbbav,tbqav,ignore
1532750040000,0.00005552,0.00005554,0.00005548,0.00005550,14296.00000000,1532750099999,0.79356402,13,6794.00000000,0.37720132,0
1532750100000,0.00005553,0.00005554,0.00005549,0.00005554,28382.00000000,1532750159999,1.57549020,21,10075.00000000,0.55933187,0
1532750160000,0.00005554,0.00005554,0.00005550,0.00005550,34171.00000000,1532750219999,1.89669958,13,9951.00000000,0.55248958,0
1532750220000,0.00005552,0.00005553,0.00005550,0.00005550,29763.00000000,1532750279999,1.65226434,20,12438.00000000,0.69048401,0
1532750280000,0.00005552,0.00005554,0.00005542,0.00005554,25021.00000000,1532750339999,1.38873924,19,16526.00000000,0.91737081,0
1532750340000,0.00005550,0.00005552,0.00005547,0.00005548,25104.00000000,1532750399999,1.39288578,16,3241.00000000,0.17980574,0
1532750400000,0.00005548,0.00005555,0.00005542,0.00005553,44615.00000000,1532750459999,2.47579803,17,30882.00000000,1.71443428,0
1532750460000,0.00005543,0.00005553,0.00005543,0.00005548,5964.00000000,1532750519999,0.33094631,19,4318.00000000,0.23964049,0
1532750520000,0.00005546,0.00005552,0.00005543,0.00005549,2909.00000000,1532750579999,0.16140935,14,2716.00000000,0.15070572,0
1532750580000,0.00005549,0.00005550,0.00005543,0.00005544,3065.00000000,1532750639999,0.16998219,14,1657.00000000,0.09192035,0
1532750640000,0.00005549,0.00005550,0.00005541,0.00005544,8848.00000000,1532750699999,0.49066838,21,5692.00000000,0.31570861,0
1532750700000,0.00005550,0.00005550,0.00005540,0.00005547,47109.00000000,1532750759999,2.61310886,19,33351.00000000,1.85010510,0
1532750760000,0.00005546,0.00005550,0.00005545,0.00005550,57253.00000000,1532750819999,3.17574724,19,43584.00000000,2.41775340,0
1532750820000,0.00005548,0.00005550,0.00005545,0.00005550,17923.00000000,1532750879999,0.99413294,14,9965.00000000,0.55286184,0
1532750880000,0.00005547,0.00005550,0.00005545,0.00005546,30734.00000000,1532750939999,1.70456206,13,8997.00000000,0.49898439,0
1532750940000,0.00005548,0.00005550,0.00005547,0.00005548,47212.00000000,1532750999999,2.61924398,14,1904.00000000,0.10565167,0
1532751000000,0.00005550,0.00005550,0.00005547,0.00005549,56760.00000000,1532751059999,3.14939587,17,13236.00000000,0.73447223,0
1532751060000,0.00005549,0.00005549,0.00005542,0.00005543,50856.00000000,1532751119999,2.81936817,22,49754.00000000,2.75829373,0
1532751120000,0.00005546,0.00005546,0.00005543,0.00005543,115342.00000000,1532751179999,6.39490839,23,38147.00000000,2.11533521,0
1532751180000,0.00005545,0.00005545,0.00005544,0.00005545,495.00000000,1532751239999,0.02744773,8,394.00000000,0.02184730,0
1532751240000,0.00005545,0.00005545,0.00005542,0.00005542,5554.00000000,1532751299999,0.30787605,12,2915.00000000,0.16160104,0
1532751300000,0.00005545,0.00005545,0.00005539,0.00005540,3346.00000000,1532751359999,0.18543741,16,1131.00000000,0.06269625,0
1532751360000,0.00005542,0.00005545,0.00005535,0.00005538,10499.00000000,1532751419999,0.58165209,23,5835.00000000,0.32333047,0
1532751420000,0.00005541,0.00005545,0.00005537,0.00005539,11888.00000000,1532751479999,0.65862229,19,6977.00000000,0.38661279,0
1532751480000,0.00005545,0.00005545,0.00005536,0.00005545,2577.00000000,1532751539999,0.14282992,13,800.00000000,0.04434971,0
1532751540000,0.00005541,0.00005542,0.00005539,0.00005542,29786.00000000,1532751599999,1.65005358,8,17476.00000000,0.96820146,0
1532751600000,0.00005539,0.00005545,0.00005539,0.00005544,25366.00000000,1532751659999,1.40509154,14,503.00000000,0.02787784,0
1532751660000,0.00005545,0.00005545,0.00005543,0.00005544,25468.00000000,1532751719999,1.41195118,20,1509.00000000,0.08366530,0
1532751720000,0.00005543,0.00005545,0.00005543,0.00005544,26823.00000000,1532751779999,1.48695158,18,6826.00000000,0.37843760,0
1532751780000,0.00005545,0.00005545,0.00005543,0.00005545,3453.00000000,1532751839999,0.19140489,4,255.00000000,0.01413975,0
1532751840000,0.00005545,0.00005546,0.00005543,0.00005546,7377.00000000,1532751899999,0.40901623,15,3296.00000000,0.18277368,0
1532751900000,0.00005546,0.00005546,0.00005545,0.00005546,1132.00000000,1532751959999,0.06277207,7,267.00000000,0.01480782,0
1532751960000,0.00005545,0.00005546,0.00005543,0.00005545,19429.00000000,1532752019999,1.07724438,20,6593.00000000,0.36552227,0
1532752020000,0.00005544,0.00005544,0.00005543,0.00005544,3304.00000000,1532752079999,0.18314539,10,337.00000000,0.01868328,0
1532752080000,0.00005543,0.00005543,0.00005537,0.00005539,3200.00000000,1532752139999,0.17729311,15,1680.00000000,0.09309178,0
1532752140000,0.00005543,0.00005544,0.00005537,0.00005544,8649.00000000,1532752199999,0.47918905,14,4296.00000000,0.23810069,0
1532752200000,0.00005544,0.00005544,0.00005536,0.00005540,23039.00000000,1532752259999,1.27693942,23,15220.00000000,0.84369214,0
1532752260000,0.00005543,0.00005545,0.00005541,0.00005544,61277.00000000,1532752319999,3.39602856,18,31471.00000000,1.74439420,0
1532752320000,0.00005544,0.00005545,0.00005544,0.00005545,4888.00000000,1532752379999,0.27102881,12,2455.00000000,0.13612209,0
1532752380000,0.00005545,0.00005546,0.00005544,0.00005545,36719.00000000,1532752439999,2.03585951,19,6606.00000000,0.36624230,0
1532752440000,0.00005545,0.00005548,0.00005545,0.00005545,27715.00000000,1532752499999,1.53746922,6,15984.00000000,0.88679142,0
1532752500000,0.00005548,0.00005548,0.00005543,0.00005544,34051.00000000,1532752559999,1.88863180,18,13768.00000000,0.76379249,0
1532752560000,0.00005547,0.00005549,0.00005543,0.00005544,52831.00000000,1532752619999,2.93015820,25,23261.00000000,1.29036222,0
1532752620000,0.00005543,0.00005549,0.00005543,0.00005545,3513.00000000,1532752679999,0.19486549,14,1976.00000000,0.10963958,0
1532752680000,0.00005549,0.00005549,0.00005545,0.00005546,1985.00000000,1532752739999,0.11010513,10,670.00000000,0.03717830,0
1532752740000,0.00005548,0.00005548,0.00005546,0.00005547,3107.00000000,1532752799999,0.17236067,13,911.00000000,0.05054228,0
1532752800000,0.00005548,0.00005548,0.00005543,0.00005544,2437.00000000,1532752859999,0.13514946,15,1253.00000000,0.06949666,0
1532752860000,0.00005543,0.00005548,0.00005543,0.00005546,3798.00000000,1532752919999,0.21064477,20,1541.00000000,0.08547985,0
1532752920000,0.00005547,0.00005548,0.00005543,0.00005545,4774.00000000,1532752979999,0.26476421,18,2378.00000000,0.13189760,0
1532752980000,0.00005544,0.00005545,0.00005544,0.00005545,1910.00000000,1532753039999,0.10590429,14,789.00000000,0.04375005,0
1532753040000,0.00005544,0.00005545,0.00005544,0.00005545,5893.00000000,1532753099999,0.32673130,23,2495.00000000,0.13833988,0
1532753100000,0.00005543,0.00005548,0.00005539,0.00005540,4666.00000000,1532753159999,0.25854190,20,1629.00000000,0.09029130,0
1532753160000,0.00005539,0.00005543,0.00005539,0.00005541,4206.00000000,1532753219999,0.23306668,17,93.00000000,0.00515333,0
1532753220000,0.00005541,0.00005542,0.00005540,0.00005540,7431.00000000,1532753279999,0.41171701,17,465.00000000,0.02576152,0
1532753280000,0.00005540,0.00005540,0.00005536,0.00005537,4782.00000000,1532753339999,0.26483996,16,633.00000000,0.03506338,0
1532753340000,0.00005538,0.00005539,0.00005537,0.00005537,4903.00000000,1532753399999,0.27150880,18,2217.00000000,0.12276958,0
1532753400000,0.00005539,0.00005539,0.00005535,0.00005535,4636.00000000,1532753459999,0.25670768,14,1670.00000000,0.09249622,0
1532753460000,0.00005537,0.00005539,0.00005537,0.00005538,72844.00000000,1532753519999,4.03384102,13,12883.00000000,0.71345425,0
1532753520000,0.00005537,0.00005539,0.00005536,0.00005536,70979.00000000,1532753579999,3.92964831,10,22423.00000000,1.24158815,0
1532753580000,0.00005538,0.00005542,0.00005535,0.00005535,5333.00000000,1532753639999,0.29535550,11,2358.00000000,0.13063440,0
1532753640000,0.00005542,0.00005543,0.00005536,0.00005536,10306.00000000,1532753699999,0.57083446,22,7422.00000000,0.41113794,0
1532753700000,0.00005535,0.00005538,0.00005535,0.00005535,2879.00000000,1532753759999,0.15936350,11,711.00000000,0.03936096,0
1532753760000,0.00005535,0.00005536,0.00005533,0.00005533,5079.00000000,1532753819999,0.28110517,24,2372.00000000,0.13129148,0
1532753820000,0.00005536,0.00005536,0.00005532,0.00005533,1105.00000000,1532753879999,0.06114397,12,297.00000000,0.01643706,0
1532753880000,0.00005535,0.00005535,0.00005530,0.00005534,5374.00000000,1532753939999,0.29731469,20,3123.00000000,0.17282300,0
1532753940000,0.00005532,0.00005536,0.00005530,0.00005530,46416.00000000,1532753999999,2.56770461,20,19371.00000000,1.07181010,0
1532754000000,0.00005532,0.00005532,0.00005529,0.00005530,20326.00000000,1532754059999,1.12420836,20,1265.00000000,0.06996992,0
1532754060000,0.00005532,0.00005533,0.00005531,0.00005531,32031.00000000,1532754119999,1.77174843,15,12233.00000000,0.67672105,0
1532754120000,0.00005532,0.00005533,0.00005529,0.00005530,23564.00000000,1532754179999,1.30318733,15,14375.00000000,0.79494808,0
1532754180000,0.00005531,0.00005532,0.00005527,0.00005529,5338.00000000,1532754239999,0.29521955,18,4361.00000000,0.24119996,0
1532754240000,0.00005529,0.00005529,0.00005527,0.00005528,611.00000000,1532754299999,0.03377674,10,310.00000000,0.01713780,0
1532754300000,0.00005528,0.00005529,0.00005527,0.00005528,2548.00000000,1532754359999,0.14086253,15,2051.00000000,0.11339026,0
1532754360000,0.00005529,0.00005529,0.00005529,0.00005529,630.00000000,1532754419999,0.03483270,6,630.00000000,0.03483270,0
1532754420000,0.00005529,0.00005530,0.00005524,0.00005527,10153.00000000,1532754479999,0.56108208,28,3518.00000000,0.19450656,0
1532754480000,0.00005529,0.00005531,0.00005528,0.00005531,2300.00000000,1532754539999,0.12718729,14,1586.00000000,0.08771411,0
1532754540000,0.00005530,0.00005531,0.00005529,0.00005530,2172.00000000,1532754599999,0.12010050,12,1683.00000000,0.09305899,0
1532754600000,0.00005530,0.00005533,0.00005526,0.00005526,5237.00000000,1532754659999,0.28962217,18,4083.00000000,0.22583898,0
1532754660000,0.00005528,0.00005529,0.00005525,0.00005526,2919.00000000,1532754719999,0.16133680,10,1638.00000000,0.09055322,0
1532754720000,0.00005524,0.00005528,0.00005523,0.00005524,15627.00000000,1532754779999,0.86344143,32,9229.00000000,0.51001627,0
1532754780000,0.00005527,0.00005528,0.00005522,0.00005523,7506.00000000,1532754839999,0.41471234,27,4872.00000000,0.26919111,0
1532754840000,0.00005525,0.00005528,0.00005523,0.00005523,6072.00000000,1532754899999,0.33546698,26,2252.00000000,0.12444970,0
1532754900000,0.00005529,0.00005531,0.00005525,0.00005525,2781.00000000,1532754959999,0.15371937,12,1761.00000000,0.09736150,0
1532754960000,0.00005525,0.00005525,0.00005524,0.00005524,6829.00000000,1532755019999,0.37728325,12,4929.00000000,0.27232725,0
1532755020000,0.00005525,0.00005525,0.00005524,0.00005525,273.00000000,1532755079999,0.01508305,6,253.00000000,0.01397825,0
1532755080000,0.00005525,0.00005525,0.00005522,0.00005522,3893.00000000,1532755139999,0.21505586,15,2908.00000000,0.16066256,0
1532755140000,0.00005521,0.00005525,0.00005521,0.00005525,4480.00000000,1532755199999,0.24744772,25,2029.00000000,0.11207967,0
1532755200000,0.00005524,0.00005525,0.00005522,0.00005522,3057.00000000,1532755259999,0.16884521,16,1699.00000000,0.09384314,0
1532755260000,0.00005522,0.00005525,0.00005521,0.00005525,6236.00000000,1532755319999,0.34434114,21,639.00000000,0.03529477,0
1532755320000,0.00005523,0.00005525,0.00005520,0.00005522,7995.00000000,1532755379999,0.44145826,36,4448.00000000,0.24564522,0
1532755380000,0.00005521,0.00005525,0.00005520,0.00005521,6589.00000000,1532755439999,0.36383087,16,4218.00000000,0.23293165,0
1532755440000,0.00005524,0.00005528,0.00005524,0.00005528,11093.00000000,1532755499999,0.61285165,27,8324.00000000,0.45989209,0
1532755500000,0.00005526,0.00005531,0.00005522,0.00005526,6792.00000000,1532755559999,0.37543177,26,3499.00000000,0.19344527,0
1532755560000,0.00005529,0.00005539,0.00005529,0.00005539,6127.00000000,1532755619999,0.33908543,19,3834.00000000,0.21223902,0
1532755620000,0.00005539,0.00005542,0.00005534,0.00005542,13604.00000000,1532755679999,0.75316295,15,5445.00000000,0.30160031,0
1532755680000,0.00005538,0.00005542,0.00005535,0.00005535,53192.00000000,1532755739999,2.94558137,11,36162.00000000,2.00289323,0
1532755740000,0.00005535,0.00005537,0.00005534,0.00005536,2503.00000000,1532755799999,0.13856131,8,0.00000000,0.00000000,0
1532755800000,0.00005540,0.00005540,0.00005535,0.00005540,6402.00000000,1532755859999,0.35447439,20,2555.00000000,0.14151365,0
1532755860000,0.00005536,0.00005540,0.00005535,0.00005537,7395.00000000,1532755919999,0.40953034,21,4128.00000000,0.22865308,0
